,P/B,P/E,Forward P/E,PEG,Debt/Eq,EPS (ttm),Dividend %,ROE,ROI,EPS Q/Q,Insider Own,EPS next Y,Income,Perf Year,Perf YTD,Profit Margin,Payout,Sales
BYFC,0.55,11.54,-,-,0.00,0.09,-,4.80%,22.70%,66.60%,21.72%,-,6.20M,-33.40%,-1.74%,15.70%,0.00%,39.60M
EA,4.74,44.02,16.57,7.89,0.26,2.87,0.60%,10.60%,8.80%,-105.50%,0.20%,7.62,802.00M,-10.05%,3.32%,10.80%,26.30%,7.43B
IRIX,2.11,-,-,-,0.00,-0.45,-,-41.00%,-44.20%,13.20%,1.50%,-0.23,-7.20M,-27.68%,3.98%,-12.60%,-,57.30M
ONTX,1.08,-,-,-,0.00,-0.98,-,-67.00%,-,-39.70%,0.20%,-1.16,-20.60M,-13.24%,82.75%,-,-,0.20M
NVDL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,278.24%,-,-,-
CPRX,3.79,13.57,8.34,-,0.00,0.88,-,34.70%,26.70%,113.60%,5.90%,1.44,99.40M,70.66%,-35.59%,38.80%,0.00%,256.50M
CTIC,-,-,32.87,-,-,-0.58,-,425.90%,-87.30%,72.60%,5.50%,0.28,-69.20M,73.51%,50.42%,-91.40%,-,75.80M
ATMCU,,,,,,,,,,,,,,,,,,
PYPD,0.81,-,-,-,0.96,-1.70,-,-282.10%,-,55.00%,4.66%,-1.16,-33.80M,-91.86%,-38.35%,-,-,-
PLTK,-,14.09,11.03,0.80,-,0.72,-,-84.90%,20.80%,14.20%,0.10%,0.92,276.20M,-27.43%,19.39%,10.60%,0.00%,2.59B
TMPO,-,-,-,-,-,-5.40,-,276.00%,4753.10%,39.10%,15.00%,-0.70,-139.70M,-97.08%,-62.29%,-,-,10.90M
CSCO,4.81,17.90,12.31,2.48,0.20,2.78,3.13%,28.00%,22.90%,7.10%,0.10%,4.04,11.47B,9.82%,4.49%,20.90%,54.40%,54.90B
CHNA,-,-,-,-,-,-,18.72%,-,-,-,-,-,-,-0.33%,-13.71%,-,-,-
PRSR,5.10,123.75,-,-,0.03,0.08,-,1.60%,-,-129.90%,-,-,3.90M,5.64%,4.47%,-,0.00%,-
ZYXI,5.15,20.09,13.19,-,0.15,0.45,-,26.00%,23.00%,25.30%,40.40%,0.69,17.20M,26.71%,-34.87%,10.20%,0.00%,169.30M
ACON,4.52,-,-,-,0.00,-1.02,-,-,-,-,2.40%,-0.38,-8.00M,0.00%,79.31%,-,-,0.06M
ATHE,0.63,-,-,-,0.00,-11.57,-,-42.30%,-,94.90%,18.70%,-,-9.40M,-60.14%,-17.29%,-,-,5.15M
ORGN,1.71,8.44,-,-,0.01,0.57,-,22.00%,-,35.90%,5.80%,-0.58,81.00M,-31.63%,4.56%,-,0.00%,1.70M
BLEUU,,,,,,,,,,,,,,,,,,
GOGL,0.82,3.31,5.85,-,0.64,2.30,5.26%,-,13.80%,-,5.60%,1.30,461.80M,-52.68%,-12.54%,-,70.30%,1.11B
TWOU,0.79,-,8.01,-,1.86,-3.21,-,-48.60%,-18.00%,58.70%,3.00%,0.57,-250.40M,-51.63%,-26.63%,-26.40%,-,948.30M
GGLL,-,-,-,-,-,-,0.62%,-,-,-,-,-,-,-,55.99%,-,-,-
AACI,3.17,-,-,-,0.07,-0.03,-,-0.50%,-,83.60%,26.79%,-,-0.60M,4.65%,1.14%,-,-,-
LSXMB,,,,,,,,,,,,,,,,,,
AGNCO,,,,,,,,,,,,,,,,,,
ANTX,1.39,-,-,-,0.00,-2.51,-,-48.70%,-,-56.10%,40.01%,-3.89,-48.60M,-55.23%,-37.99%,-,-,-
NSYS,0.97,11.66,-,-,0.23,0.88,-,9.20%,6.80%,388.10%,67.57%,-,2.60M,-12.51%,-16.08%,1.80%,0.00%,138.30M
LZ,15.99,-,26.14,-,0.00,-0.10,-,-13.40%,-32.20%,90.50%,1.10%,0.48,-20.50M,-10.42%,61.11%,-3.20%,-,631.70M
PAVS,,,,,,,,,,,,,,,,,,
EVGN,1.10,-,-,-,0.54,-0.60,-,-83.80%,-76.70%,24.80%,2.04%,-0.47,-24.60M,-36.80%,-16.94%,-,-,2.10M
CMND,0.24,-,-,-,0.00,-6.64,-,-671.50%,-,35.90%,9.44%,-,-9.80M,-97.10%,-82.78%,-,-,-
ERII,8.25,158.57,49.61,7.93,0.00,0.17,-,5.60%,12.30%,-182.50%,1.80%,0.54,9.90M,23.50%,30.01%,9.30%,0.00%,106.40M
SMLR,2.99,13.54,11.66,-,0.00,2.02,-,-,24.80%,52.00%,0.10%,2.34,15.90M,-5.08%,-17.30%,-,0.00%,60.90M
CACC,3.88,16.20,12.60,0.73,2.74,31.63,-,26.10%,11.30%,-49.10%,0.70%,40.65,421.00M,-9.37%,7.99%,23.00%,0.00%,1.83B
QAT,-,-,-,-,-,-,4.84%,-,-,-,-,-,-,-19.36%,-1.23%,-,-,-
DISA,,,,,,,,,,,,,,,,,,
DPRO,2.36,-,-,-,0.03,-0.84,-,-136.10%,-294.70%,-9.00%,1.60%,-0.51,-28.50M,0.95%,41.33%,-,-,7.20M
BCRX,-,-,-,-,-,-1.21,-,83.90%,-34.50%,29.50%,0.80%,-0.54,-226.30M,-15.37%,-23.26%,-78.10%,-,289.70M
LSTR,7.23,17.76,20.55,1.48,0.17,10.58,0.64%,43.30%,40.10%,-34.90%,0.50%,9.14,384.30M,22.82%,16.79%,5.60%,10.90%,6.91B
RILYG,,,,,,,,,,,,,,,,,,
SDAC,,,,,,,,,,,,,,,,,,
HOFV,0.23,-,-,-,1.20,-8.91,-,-22.60%,-,-256.70%,3.50%,-7.80,-46.90M,-41.91%,-2.73%,-,-,16.00M
CVBF,1.04,8.36,9.15,0.84,0.00,1.79,5.35%,-,20.60%,35.60%,0.30%,1.63,247.50M,-40.06%,-41.94%,-,46.23%,543.40M
FGF,1.03,7.57,-,-,0.00,0.24,-,34.40%,-,114.50%,4.80%,-,4.50M,-29.30%,-36.49%,16.90%,-,26.50M
LICN,1.04,6.35,-,-,0.00,0.30,-,20.80%,18.80%,43.70%,66.86%,-,7.90M,-,-45.71%,23.40%,0.00%,33.50M
EBAY,4.49,37.68,9.85,4.75,1.43,1.20,2.22%,12.40%,19.10%,146.10%,0.10%,4.57,634.00M,-5.48%,8.66%,6.50%,75.10%,9.82B
ICCM,2.09,-,-,-,-,-0.42,-,-,-,-,47.00%,-0.28,-,-38.68%,-24.84%,-,-,3.08M
ACRX,0.83,0.17,-,-,0.23,6.42,-,-,-132.80%,100.90%,0.30%,-1.65,47.00M,-75.69%,-51.77%,-,0.00%,1.80M
UFCS,0.80,-,12.93,-,0.07,-0.50,2.71%,-1.70%,2.30%,-97.60%,0.90%,1.82,-12.60M,-28.69%,-13.78%,-1.30%,105.52%,1.00B
AOGO,0.32,198.11,-,-,0.00,0.05,-,0.20%,-,-,16.16%,-,0.20M,-,3.65%,-,0.00%,-
STRA,1.15,50.37,20.34,8.40,0.06,1.57,3.04%,2.30%,2.80%,-129.70%,0.20%,3.88,37.60M,19.28%,0.78%,3.50%,150.50%,1.06B
ONYX,3.72,119.44,-,-,0.01,0.09,-,1.20%,-,-,-,-,2.40M,-,4.17%,-,0.00%,-
IRBT,2.74,-,-,-,0.07,-12.33,-,-63.90%,-55.70%,-162.70%,0.10%,-2.53,-337.00M,-10.49%,-17.89%,-32.00%,-,1.05B
VNOM,2.87,11.57,13.15,1.47,1.04,2.27,3.80%,-,56.30%,117.30%,0.20%,2.00,169.00M,-23.60%,-16.29%,-,121.48%,833.50M
ANY,0.73,-,-,-,0.00,-2.69,-,-176.90%,-508.80%,78.80%,2.79%,-,-181.70M,-69.94%,11.29%,-,-,7.70M
TENKU,,,,,,,,,,,,,,,,,,
FIACU,,,,,,,,,,,,,,,,,,
POCI,3.78,166.67,-,-,0.23,0.04,-,-1.30%,-6.70%,-247.30%,34.40%,-,0.20M,8.33%,16.80%,-0.60%,-,20.80M
TYGO,4.95,-,-,-,0.01,-0.08,-,-0.70%,-,-777.20%,-,-,-0.50M,107.19%,100.49%,-,-,121.46M
VOR,1.53,-,-,-,0.00,-2.16,-,-48.00%,-,29.60%,1.20%,-1.85,-97.80M,20.73%,-20.30%,-,-,-
EVTV,0.44,-,-,-,0.00,-3.80,-,-11.90%,-10.40%,114.60%,17.61%,-,-8.70M,-65.01%,-0.94%,-,-,7.80M
VIA,0.97,-,-,-,3.33,-4.48,31.30%,-28.20%,11.20%,-124.70%,23.20%,-,-14.20M,-72.00%,-54.68%,-3.10%,-,465.20M
CRGE,8.33,-,-,-,1.21,-0.34,-,-287.20%,-91.50%,56.90%,0.10%,-0.16,-68.40M,-81.82%,-19.35%,-10.50%,-,697.80M
CTMX,-,-,-,-,-,-1.20,-,330.80%,118.10%,89.80%,0.80%,-0.94,-78.70M,-1.15%,7.50%,-,-,59.50M
LMBS,-,-,-,-,-,-,2.81%,-,-,-,-,-,-,-1.44%,0.76%,-,-,-
FDNI,-,-,-,-,-,-,0.40%,-,-,-,-,-,-,-5.98%,1.31%,-,-,-
AGNCN,,,,,,,,,,,,,,,,,,
INZY,2.53,-,-,-,0.23,-1.58,-,-53.50%,-,44.20%,0.90%,-1.76,-67.60M,57.52%,468.57%,-,-,-
VNET,0.47,-,-,-,1.69,-0.74,-,-10.80%,-0.10%,-90.40%,13.33%,-0.58,-109.40M,-46.13%,-47.27%,-10.50%,-,996.00M
CSX,5.43,16.00,15.69,1.95,1.45,2.04,1.35%,33.70%,15.60%,22.40%,0.30%,2.08,4.29B,1.37%,5.16%,28.40%,20.10%,15.15B
FTRI,-,-,-,-,-,-,8.42%,-,-,-,-,-,-,-21.39%,-7.28%,-,-,-
CARE,1.08,6.87,7.83,-,0.00,2.34,-,16.90%,38.20%,84.70%,0.60%,2.06,56.40M,7.27%,-3.01%,31.40%,0.00%,179.50M
CMCO,1.43,24.80,12.55,1.08,0.57,1.68,0.67%,6.00%,5.50%,17.00%,1.80%,3.32,48.40M,21.62%,28.40%,5.20%,16.50%,936.20M
CBAY,8.89,-,-,-,0.91,-1.19,-,-151.30%,-,7.10%,0.31%,-1.15,-107.00M,383.08%,50.24%,-,-,-
HROWM,,,,,,,,,,,,,,,,,,
KNSA,2.72,5.47,1167.69,-,0.00,2.77,-,59.30%,46.00%,51.80%,0.30%,0.01,196.30M,86.26%,1.34%,83.10%,0.00%,236.30M
TMDX,13.29,-,734.63,-,0.31,-0.95,-,-18.30%,-12.60%,78.40%,1.50%,0.11,-28.30M,188.09%,28.55%,-23.80%,-,119.10M
SPOK,1.50,8.19,14.29,-,0.00,1.55,9.83%,19.80%,12.30%,142.00%,1.80%,0.89,32.20M,80.94%,55.31%,24.00%,76.60%,133.90M
CLNN,-,-,-,-,-,-0.41,-,-,-166.90%,27.20%,8.80%,-0.42,-28.30M,-61.17%,6.00%,-,-,0.60M
CSTE,0.41,-,14.11,-,0.04,-1.94,6.99%,-14.40%,-13.00%,-160.70%,40.65%,0.35,-67.10M,-48.83%,-12.26%,-10.00%,-,671.00M
HHRS,0.78,10.96,4.19,-,0.01,0.69,-,7.10%,-,43.30%,8.28%,1.80,27.20M,-24.20%,-26.09%,-,0.00%,763.62M
NUWE,0.24,-,-,-,0.00,-88.15,-,-114.60%,-138.50%,86.40%,0.47%,-4.06,-16.50M,-95.52%,-72.39%,-,-,8.40M
MACA,4.47,124.46,-,-,0.00,0.08,-,1.20%,-,274.50%,11.49%,-,1.10M,6.49%,2.58%,-,0.00%,0.74M
PTGX,6.79,-,-,-,0.00,-2.83,-,-59.40%,-60.90%,-55.30%,1.60%,-2.38,-140.20M,226.46%,165.72%,-,-,0.90M
REAL,-,-,-,-,-,-2.27,-,133.90%,-67.70%,-34.90%,2.30%,-0.47,-221.50M,-41.72%,35.20%,-37.00%,-,598.70M
SMBK,0.90,8.68,10.26,-,0.12,2.74,1.34%,10.80%,23.80%,38.90%,1.20%,2.32,46.30M,-8.29%,-13.45%,25.80%,10.90%,179.10M
RTLPO,,,,,,,,,,,,,,,,,,
ETNB,2.41,-,-,-,0.00,-2.82,-,-50.70%,-,56.90%,0.90%,-2.50,-105.30M,461.56%,58.37%,-,-,-
MOFG,0.70,7.23,7.52,0.90,0.24,3.08,4.36%,9.90%,23.80%,-89.90%,1.00%,2.96,48.30M,-26.82%,-29.86%,22.60%,30.90%,214.20M
SOND,-,-,-,-,-,-1.22,-,-,-187.70%,-827.80%,17.46%,-0.43,-261.70M,-64.69%,-48.46%,-,-,501.40M
RDVY,-,-,-,-,-,-,2.19%,-,-,-,-,-,-,0.41%,6.72%,-,-,-
NXTC,0.31,-,-,-,0.00,-2.53,-,-40.00%,-,22.10%,8.76%,-2.41,-70.20M,-60.37%,21.99%,-,-,-
PNT,2.22,12.78,-,-,0.00,0.78,-,26.50%,19.30%,13.90%,7.50%,-0.81,98.10M,33.15%,36.08%,41.60%,0.00%,236.00M
FV,-,-,-,-,-,-,1.54%,-,-,-,-,-,-,-8.14%,-2.60%,-,-,-
HERD,,,,,,,,,,,,,,,,,,
LGMK,0.11,-,-,-,0.00,-14.16,-,-34.30%,-34.40%,33.80%,0.30%,-,-7.80M,-90.47%,-70.75%,-70.30%,-,11.10M
GPRO,1.14,-,7.63,-,0.00,-0.05,-,-1.10%,4.40%,-603.40%,1.20%,0.56,-6.70M,-36.52%,-13.45%,-0.60%,0.00%,1.05B
GVP,1.34,-,-,-,0.33,-0.69,-,-122.60%,-107.10%,21.40%,9.20%,-0.15,-14.90M,-66.54%,-33.08%,-32.10%,-,46.30M
ADTH,1.00,2.46,22.47,-,0.00,0.70,-,44.80%,1.40%,87.70%,10.43%,0.08,65.90M,-77.96%,4.22%,40.00%,0.00%,164.50M
SYNA,2.46,18.61,18.52,1.24,0.74,4.43,-,13.80%,12.40%,-83.70%,1.50%,4.45,179.90M,-43.78%,-13.34%,11.20%,0.00%,1.60B
APA,24.06,5.56,5.47,-,13.06,6.18,2.91%,396.50%,76.90%,-85.70%,0.43%,6.29,2.03B,-29.15%,-26.31%,19.50%,12.10%,10.41B
AMRS,-,-,-,-,-,-1.83,-,132.60%,-140.00%,-54.20%,0.70%,-0.48,-614.50M,-58.10%,-36.46%,-,-,268.20M
RSLS,0.54,-,-,-,0.00,-85.43,-,-251.30%,-,92.90%,4.60%,-2.52,-40.70M,-94.11%,-63.95%,-,-,11.10M
ZCMD,0.95,-,-,-,0.00,-0.11,-,-9.10%,-10.80%,-195.80%,17.96%,-,-2.90M,-15.50%,-5.10%,-20.80%,-,14.20M
ADAP,2.04,-,-,-,0.00,-0.70,-,-108.50%,-203.30%,101.90%,0.32%,-0.54,-114.20M,-31.58%,-28.77%,-,-,71.20M
SANW,0.73,7.01,-,0.47,0.63,0.18,-,15.20%,-33.90%,504.50%,1.00%,-0.17,8.20M,10.26%,-13.42%,11.70%,0.00%,70.50M
FBNC,1.10,10.03,10.36,1.24,0.47,3.51,2.50%,11.60%,25.00%,-61.40%,0.80%,3.40,127.40M,-6.33%,-17.74%,33.60%,24.90%,379.00M
SOHOB,,,,,,,,,,,,,,,,,,
CNSL,0.64,-,-,-,3.27,-1.22,-,-,-2.30%,63.40%,1.20%,-0.97,-137.30M,-51.57%,3.63%,-,-,1.17B
FFIV,3.22,26.99,11.61,2.87,0.00,5.39,-,12.90%,12.10%,46.50%,0.50%,12.54,326.20M,-12.56%,1.44%,11.70%,0.00%,2.78B
AROW,1.08,7.65,7.42,1.11,0.07,2.95,4.79%,13.40%,24.10%,-6.30%,3.00%,3.04,48.80M,-29.38%,-33.48%,36.90%,35.20%,129.70M
ACAXU,,,,,,,,,,,,,,,,,,
TANH,0.03,0.77,-,-,0.06,3.41,-,2.70%,1.10%,101.20%,3.76%,-,3.00M,-58.01%,22.80%,5.60%,0.00%,53.50M
BTAI,11.32,-,-,-,1.79,-6.63,-,-177.70%,-94.00%,-64.00%,31.26%,-5.17,-187.10M,93.89%,-2.51%,-,-,0.60M
PZZA,-,31.44,22.26,4.79,-,2.26,2.37%,-,28.10%,124.10%,1.00%,3.19,79.30M,-20.38%,-13.74%,-,81.61%,2.09B
BYTS,37.50,69.88,-,-,0.00,0.16,-,2.70%,-,-74.80%,30.36%,-,6.50M,15.38%,11.61%,-,0.00%,-
FSEA,,,,,,,,,,,,,,,,,,
PRLH,,,,,,,,,,,,,,,,,,
AVTE,3.65,-,-,-,0.00,-2.32,-,-43.10%,-,-49.20%,9.50%,-2.62,-57.10M,38.67%,-43.21%,-,-,-
UTHR,1.99,14.85,10.87,1.53,0.16,14.86,-,15.50%,13.50%,-3.40%,0.20%,20.31,728.30M,-2.29%,-20.65%,36.80%,0.00%,1.98B
ONCY,5.13,-,-,-,0.02,-0.30,-,-87.90%,-,13.80%,1.80%,-0.34,-18.20M,55.88%,-2.45%,-,-,-
GIGM,0.34,-,-,-,0.00,-0.18,-,-4.00%,-6.20%,71.60%,45.56%,-,-2.00M,-9.82%,21.49%,-36.60%,-,5.40M
ASNS,3.56,-,-,-,3.50,-5.53,-,-183.10%,-71.80%,95.20%,19.33%,-,-8.20M,-79.72%,-38.81%,-93.50%,-,8.80M
ALSA,,,,,,,,,,,,,,,,,,
FEMY,0.75,-,-,-,0.02,-0.97,-,-68.90%,-73.90%,-1.60%,17.03%,-0.56,-11.50M,-51.56%,-13.34%,-,-,1.20M
MLEC,2.12,-,-,-,0.06,-0.03,-,-0.60%,-,-169.40%,-,-,-0.60M,-70.50%,-75.87%,-,-,-
EMXF,,,,,,,,,,,,,,,,,,
VIAV,3.27,54.56,16.17,3.64,1.18,0.18,-,6.30%,2.40%,-184.80%,1.10%,0.61,42.10M,-32.86%,-5.52%,3.60%,0.00%,1.18B
BGCP,2.36,42.41,4.49,2.07,1.55,0.11,0.87%,6.10%,5.60%,-27.90%,9.68%,1.02,41.70M,44.94%,21.49%,2.30%,35.90%,1.82B
NSTG,21.21,-,-,-,16.69,-3.46,-,-253.00%,-56.00%,-2.30%,0.80%,-1.83,-161.30M,-60.90%,-22.84%,-,-,132.00M
GNTX,3.01,19.74,13.25,1.25,0.00,1.41,1.73%,-,15.40%,12.90%,0.10%,2.09,323.80M,-10.57%,1.72%,-,35.94%,2.00B
TPG,7.52,130.60,12.77,12.50,0.00,0.22,2.82%,-,-5.30%,-49.20%,11.36%,2.22,66.90M,-1.84%,1.83%,-,102.57%,1.43B
PRDS,0.67,-,-,-,0.00,-1.58,-,-48.30%,-,20.70%,0.40%,-0.05,-93.00M,-67.43%,9.47%,-,-,-
TRONU,,,,,,,,,,,,,,,,,,
URBN,1.65,16.61,10.75,0.78,0.00,1.93,-,9.80%,9.20%,-19.00%,37.33%,2.99,181.00M,44.75%,34.68%,3.50%,0.00%,4.86B
PLAB,1.52,11.54,10.57,1.15,0.04,1.99,-,13.80%,17.40%,-39.90%,0.80%,2.17,122.20M,2.36%,36.48%,13.60%,0.00%,870.60M
TMTC,,,,,,,,,,,,,,,,,,
NEGG,2.83,-,-,-,0.05,-0.15,-,-33.20%,-40.50%,-530.90%,52.90%,-0.10,-57.40M,-76.37%,-11.45%,-3.30%,-,1.72B
BRY,0.73,1.97,9.40,0.13,0.58,3.68,6.61%,40.60%,23.50%,89.10%,10.20%,0.77,301.10M,-23.62%,-4.23%,27.90%,28.20%,1.08B
TCBIO,0.33,4.86,-,-,-,3.96,7.47%,-,-,-2.50%,-,-,-,-15.61%,0.58%,-,0.00%,1.20B
BLAC,,,,,,,,,,,,,,,,,,
EBIX,1.07,12.90,9.44,1.29,0.98,1.71,1.36%,8.40%,8.80%,-63.20%,21.52%,2.33,52.50M,-29.12%,10.22%,5.20%,13.20%,1.01B
FUV,0.37,-,-,-,0.42,-23.14,-,-159.00%,-133.40%,84.50%,15.00%,-,-56.80M,-97.50%,-47.58%,-,-,7.30M
SIFY,0.02,33.57,20.14,-,1.27,0.04,-,4.60%,6.60%,-90.10%,27.10%,0.07,7.90M,-36.49%,22.45%,2.10%,0.00%,381.10M
UTAAU,,,,,,,,,,,,,,,,,,
ZG,2.37,-,28.57,-,0.38,-0.56,-,-,-1.60%,-199.80%,3.49%,1.60,-135.00M,13.39%,46.56%,-,-,1.89B
CFIVU,,,,,,,,,,,,,,,,,,
NVTS,4.12,-,-,-,0.00,-0.42,-,-20.10%,-26.50%,-164.80%,16.90%,-0.14,-67.70M,29.20%,158.40%,-,0.00%,44.60M
AVO,1.80,-,18.71,-,0.34,-0.42,-,-5.80%,-6.30%,34.40%,0.90%,0.67,-30.00M,-7.43%,8.35%,-2.90%,-,1.04B
RNEM,,,,,,,,,,,,,,,,,,
ANGH,-,-,-,-,-,-2.14,-,-,-,-,45.39%,-,-,-82.85%,-32.92%,-,-,48.48M
FTEK,0.94,-,-,-,0.00,-0.03,-,-1.90%,-3.50%,58.50%,22.17%,0.00,-0.90M,9.92%,8.63%,-3.00%,-,28.70M
ROCL,,,,,,,,,,,,,,,,,,
AIB,,,,,,,,,,,,,,,,,,
TCRX,0.96,-,-,-,0.38,-3.01,-,-68.20%,-51.80%,-38.20%,6.91%,-3.53,-72.60M,1.31%,99.35%,-,-,17.30M
ARIZU,,,,,,,,,,,,,,,,,,
AMSF,3.12,18.79,18.70,1.88,0.00,2.89,2.51%,15.80%,17.50%,1.10%,2.05%,2.90,55.60M,13.37%,4.37%,18.70%,43.80%,297.60M
MDVL,1.30,-,-,-,0.00,-0.85,-,-214.90%,-151.10%,64.00%,14.50%,-0.13,-47.60M,-75.54%,12.61%,-,-,43.10M
SWEB,,,,,,,,,,,,,,,,,,
QOMO,,,,,,,,,,,,,,,,,,
EVO,3.35,-,38.83,-,-,-0.55,-,-,-,-,-,0.29,-,-19.11%,39.18%,-,-,751.45M
ZI,4.65,106.49,22.98,5.62,0.53,0.25,-,4.60%,2.40%,616.00%,1.50%,1.16,101.50M,-34.77%,-11.23%,8.80%,0.00%,1.16B
ALRM,4.13,46.18,26.69,5.07,0.79,1.13,-,10.40%,4.60%,61.30%,1.10%,1.95,61.70M,-19.54%,5.27%,7.30%,0.00%,846.80M
UBND,,,,,,,,,,,,,,,,,,
SWBI,1.54,9.63,13.64,0.64,0.17,1.31,3.18%,16.50%,48.50%,-62.90%,1.90%,0.92,60.20M,-17.93%,45.05%,11.70%,28.90%,515.80M
HCCI,1.95,9.84,12.32,0.66,0.20,3.73,-,21.40%,15.60%,28.50%,6.50%,2.98,88.50M,30.50%,13.15%,11.60%,0.00%,763.40M
IFV,-,-,-,-,-,-,2.86%,-,-,-,-,-,-,-11.54%,6.75%,-,-,-
SAVA,4.91,-,-,-,0.00,-2.04,-,-39.10%,-,-32.60%,2.70%,-1.80,-83.00M,-14.04%,-18.72%,-,-,-
NATR,1.62,68.36,16.35,-,0.01,0.18,-,2.40%,1.10%,129.40%,5.10%,0.74,3.40M,-4.50%,45.43%,0.80%,0.00%,420.10M
BVS,0.93,-,15.93,-,2.36,-3.67,-,-88.40%,-27.30%,-613.10%,15.63%,0.18,-227.10M,-70.59%,8.05%,-55.80%,-,513.90M
SCWO,,,,,,,,,,,,,,,,,,
ENTFU,,,,,,,,,,,,,,,,,,
SMCP,-,-,-,-,-,-,0.56%,-,-,-,-,-,-,-1.71%,7.12%,-,-,-
OLPX,3.09,13.03,12.12,-,0.82,0.29,-,27.00%,19.90%,-65.70%,0.10%,0.32,203.10M,-77.07%,-26.49%,32.10%,0.00%,631.90M
CVLT,17.04,-,23.10,-,0.00,-0.81,-,-14.60%,-19.50%,-666.30%,1.80%,3.09,-35.80M,12.04%,13.59%,-4.60%,-,784.60M
FTCS,-,-,-,-,-,-,1.40%,-,-,-,-,-,-,-0.38%,-2.64%,-,-,-
AMAM,3.37,-,-,-,0.00,-1.77,-,-,-66.50%,63.20%,-,-0.55,-70.70M,251.22%,502.64%,-,-,5.80M
SOFI,1.37,-,-,-,1.17,-0.31,-,-5.50%,4.90%,66.10%,1.30%,-0.00,-284.90M,12.83%,67.90%,-27.80%,-,1.03B
LANDM,1.15,-,-,-,-,-0.29,5.30%,-,-,48.60%,-,-,-,-7.45%,0.81%,-,-,90.42M
SPBC,-,-,-,-,-,-,4.20%,-,-,-,-,-,-,0.57%,15.91%,-,-,-
ILLM,0.94,1660.00,-,-,0.09,0.00,-,0.20%,-5.70%,15.00%,11.89%,-0.03,0.20M,-39.64%,7.10%,0.10%,0.00%,123.70M
SEEL,-,-,-,-,-,-0.68,-,-,-,10.00%,2.81%,-0.41,-73.00M,36.36%,32.55%,-,-,0.80M
HCKT,8.74,16.48,12.26,1.10,0.91,1.25,2.14%,34.80%,34.70%,-9.30%,7.50%,1.68,38.50M,0.00%,0.79%,13.30%,34.70%,289.30M
FTGS,,,,,,,,,,,,,,,,,,
INCR,-,12.81,1.65,-,-,0.16,-,-,-,-98.40%,35.80%,1.24,-,-68.41%,-37.88%,-,-,-
GRTS,1.49,-,-,-,0.21,-1.43,-,-81.60%,-63.30%,-15.40%,2.42%,-1.32,-124.80M,16.02%,-30.72%,-,-,15.20M
PENN,0.98,6.61,13.70,0.75,1.76,4.02,-,18.10%,6.50%,987.90%,0.10%,1.94,682.50M,-21.56%,-10.57%,10.50%,0.00%,6.51B
IREN,0.67,-,-,-,0.38,-5.55,-,-,-0.40%,-242.80%,23.97%,-0.24,-154.90M,-38.29%,172.00%,-,-,58.40M
ICFI,2.74,37.32,17.58,3.73,0.73,3.31,0.45%,7.50%,6.20%,-7.90%,0.60%,7.01,62.80M,20.54%,24.52%,3.40%,16.80%,1.85B
VTRS,0.56,6.21,3.37,-,0.90,1.56,4.94%,9.40%,2.20%,-43.40%,0.28%,2.88,1.90B,-17.50%,-12.76%,12.10%,30.50%,15.80B
WLFC,0.63,10.01,-,0.67,4.52,4.18,-,7.00%,0.20%,115.00%,19.00%,-,27.70M,12.85%,-29.16%,8.30%,0.00%,332.60M
DRRX,8.35,-,-,-,1.39,-1.58,-,-130.40%,-75.90%,-5.90%,0.20%,-1.69,-36.50M,18.27%,56.94%,-,-,19.40M
FICS,,,,,,,,,,,,,,,,,,
TARA,0.34,-,-,-,0.00,-5.70,-,-53.40%,-,16.30%,10.20%,-3.00,-64.20M,-17.87%,6.34%,-,-,-
SCWX,1.22,-,160.20,-,0.00,-1.36,-,-19.30%,-20.70%,-349.10%,18.20%,0.05,-114.50M,-24.15%,25.35%,-24.70%,-,463.50M
FREE,0.49,-,-,-,1.66,-1.94,-,-27.60%,-4.30%,-792.00%,24.40%,-0.03,-81.30M,-57.14%,-25.55%,-15.00%,-,540.10M
VGSH,-,-,-,-,-,-,2.11%,-,-,-,-,-,-,-1.95%,0.10%,-,-,-
PFC,0.66,6.39,7.22,0.71,0.09,2.63,7.37%,-,21.00%,-30.50%,0.20%,2.33,93.90M,-38.91%,-37.60%,-,41.92%,301.00M
LTRX,2.02,-,7.99,-,0.25,-0.13,-,-6.10%,-4.10%,8.80%,4.00%,0.54,-4.80M,-27.61%,-0.46%,-3.60%,-,132.20M
NN,3.35,-,-,-,0.00,-0.45,-,-48.50%,-65.50%,-59.60%,5.30%,-0.57,-46.80M,-0.71%,-5.12%,-,-,3.60M
OFS,0.74,-,8.12,-,-,-0.91,13.21%,-,-,-54.50%,22.54%,1.23,-,-21.34%,-1.58%,-,-,52.08M
HIVE,1.34,-,-,-,0.26,-3.91,-,-124.70%,16.20%,-275.20%,0.16%,-0.69,-377.00M,-25.85%,113.19%,-,-,187.80M
INAB,3.76,-,-,-,0.08,-1.34,-,-125.00%,-,6.90%,10.90%,-1.05,-29.90M,14.29%,10.82%,-,-,-
ADBE,13.52,41.25,23.76,2.89,0.26,10.14,-,33.50%,26.70%,1.70%,0.29%,17.60,4.74B,-2.59%,24.30%,26.30%,0.00%,18.00B
