,P/B,P/E,Forward P/E,PEG,Debt/Eq,EPS (ttm),Dividend %,ROE,ROI,EPS Q/Q,Insider Own,EPS next Y,Income,Perf Year,Perf YTD,Profit Margin,Payout,Sales
SPNT,0.74,-,5.87,-,0.38,-0.31,-,-2.40%,-15.60%,162.20%,1.10%,1.60,-47.20M,77.61%,64.66%,-1.90%,-,2.43B
CNHI,2.67,9.10,8.17,0.96,3.22,1.60,2.73%,33.00%,11.20%,45.10%,27.15%,1.78,2.18B,10.15%,-9.81%,9.00%,23.80%,24.25B
HT$E,,,,,,,,,,,,,,,,,,
TIVC,0.36,-,-,-,0.00,-0.92,-,-175.00%,-,54.40%,10.15%,-0.24,-10.00M,-94.77%,-84.87%,-,-,1.80M
AADR,-,-,-,-,-,-,3.93%,-,-,-,-,-,-,-1.56%,5.86%,-,-,-
MSC,1.56,-,-,-,3.27,-1.53,-,-34.90%,-8.60%,62.90%,22.06%,-0.54,-294.20M,197.45%,7.80%,-,-,51.00M
BML$G,,,,,,,,,,,,,,,,,,
FCO,1.37,-,-,-,-,-1.69,15.36%,-,-,-,0.02%,-,-,-3.72%,12.86%,-,-,3.97M
ASB$E,,,,,,,,,,,,,,,,,,
IDT,4.06,15.06,-,-,-,1.76,-,-,-,-,31.01%,-,-,12.49%,-6.99%,-,0.00%,-
BIP,2.66,457.75,44.77,13.54,0.00,0.08,4.18%,0.80%,7.00%,-,42.30%,0.82,60.00M,-9.12%,16.51%,0.40%,758.62%,15.23B
EMO,-,2.54,-,-,-,11.48,-,-,-,-,-,-,-,17.07%,5.32%,-,-,-
XHYF,,,,,,,,,,,,,,,,,,
DUETU,,,,,,,,,,,,,,,,,,
FTK,1.38,-,72.73,-,0.77,-0.32,-,-34.50%,-31.90%,192.80%,2.70%,0.01,-10.20M,-35.30%,-31.26%,-6.00%,-,171.20M
ICF,-,-,-,-,-,-,2.72%,-,-,-,-,-,-,-5.28%,1.31%,-,-,-
MARZ,,,,,,,,,,,,,,,,,,
PCG$E,,,,,,,,,,,,,,,,,,
ACBAU,,,,,,,,,,,,,,,,,,
NFLT,-,-,-,-,-,-,4.94%,-,-,-,-,-,-,-0.67%,1.28%,-,-,-
AYTU,0.17,-,-,-,0.61,-206.58,-,-69.20%,-173.10%,94.60%,4.50%,-0.57,-32.30M,-81.22%,-51.32%,-31.00%,-,104.10M
MEG,4.13,-,-,-,0.56,-1.86,-,-17.70%,-6.30%,-60.70%,7.62%,-0.72,-55.40M,38.44%,-4.54%,-10.20%,-,541.20M
FAZ,-,-,-,-,-,-,1.39%,-,-,-,-,-,-,-34.41%,0.36%,-,-,-
RNG,-,-,9.68,-,-,-8.19,-,253.00%,-56.50%,64.40%,1.00%,3.71,-782.60M,-35.01%,-0.68%,-38.10%,-,2.05B
IGV,-,-,-,-,-,-,0.01%,-,-,-,-,-,-,29.49%,36.24%,-,-,-
HSTO,0.32,-,-,-,0.00,-4.07,-,-93.70%,-73.90%,-201.40%,2.87%,-4.12,-13.90M,-60.09%,7.23%,-,-,0.02M
AVSF,,,,,,,,,,,,,,,,,,
ISDB,,,,,,,,,,,,,,,,,,
FCA,-,-,-,-,-,-,5.99%,-,-,-,-,-,-,-18.84%,0.96%,-,-,-
NULG,-,-,-,-,-,-,0.32%,-,-,-,-,-,-,28.54%,26.75%,-,-,-
ELDN,0.31,-,-,-,0.00,-6.23,-,-79.10%,-,-9.50%,10.06%,-1.35,-88.90M,-48.88%,-29.82%,-,-,-
JFU,0.09,-,-,-,0.00,-7.14,-,-15.00%,-17.10%,98.70%,49.02%,-,-83.60M,-72.50%,16.29%,-,-,79.00M
DBEM,-,-,-,-,-,-,2.43%,-,-,-,-,-,-,1.80%,9.10%,-,-,-
VDNI,,,,,,,,,,,,,,,,,,
PII,6.06,11.22,11.57,0.75,1.83,10.85,2.14%,45.20%,20.50%,61.20%,0.70%,10.52,642.20M,19.58%,20.03%,5.50%,30.50%,8.99B
PKX,0.56,14.33,-,1.19,0.53,5.33,3.61%,4.00%,4.90%,-55.90%,9.30%,-,1.67B,48.87%,39.71%,2.60%,0.00%,63.91B
GTH,1.12,-,-,-,0.29,-1.23,-,-87.90%,-99.60%,-523.30%,6.94%,-,-113.70M,-34.05%,-16.97%,-,-,91.50M
ZSL,-,-,-,-,-,-,-,-,-,-,-,-,-,-34.03%,-4.15%,-,-,-
DMAQ,,,,,,,,,,,,,,,,,,
HCDIZ,,,,,,,,,,,,,,,,,,
CLVR,0.30,-,3.12,-,0.04,-1.26,-,-93.60%,-169.10%,80.90%,3.10%,0.08,-54.20M,-75.96%,-18.57%,-,-,16.60M
GMAB,6.44,33.43,3.25,1.24,0.03,1.16,-,20.00%,17.30%,-51.30%,-,11.92,764.50M,41.58%,-7.53%,34.50%,0.00%,2.22B
SITC$A,,,,,,,,,,,,,,,,,,
BPAY,,,,,,,,,,,,,,,,,,
LMND,1.69,-,-,-,0.00,-4.33,-,-33.50%,-34.40%,21.70%,28.34%,-3.53,-288.80M,10.79%,43.35%,-93.90%,-,307.60M
MIRM,7.49,-,-,-,0.00,-3.65,-,-91.80%,-87.90%,31.60%,0.70%,-1.39,-129.20M,44.84%,40.31%,-,-,95.80M
SCHL,1.14,23.21,14.69,2.55,0.00,1.68,2.06%,5.20%,7.20%,-28.80%,1.10%,2.65,62.10M,10.43%,-1.77%,3.70%,39.10%,1.69B
MDWD,2.49,-,-,-,0.02,-3.42,-,-180.60%,-69.00%,49.60%,24.24%,-1.87,-19.70M,-7.57%,-27.58%,-76.10%,-,25.90M
BYLD,-,-,-,-,-,-,4.19%,-,-,-,-,-,-,-0.31%,0.97%,-,-,-
ISRL,-,208.50,-,-,-,0.05,-,-,-,-,4.21%,-,-,-,2.66%,-,-,-
KBH,1.14,5.51,9.10,-,0.48,9.15,1.19%,-,14.50%,-1.20%,0.20%,5.54,803.50M,80.24%,60.27%,-,6.46%,6.89B
SELV,,,,,,,,,,,,,,,,,,
BBJP,-,-,-,-,-,-,4.28%,-,-,-,-,-,-,18.39%,17.46%,-,-,-
TEAM,80.26,-,84.23,-,1.72,-2.08,-,-108.40%,-11.40%,-,0.60%,2.16,-533.30M,-1.94%,36.91%,-15.90%,-,3.36B
PPH,-,-,-,-,-,-,1.81%,-,-,-,-,-,-,7.30%,1.44%,-,-,-
IBDU,-,-,-,-,-,-,3.88%,-,-,-,-,-,-,-1.19%,1.13%,-,-,-
INFU,3.96,4570.00,40.99,228.50,0.75,0.00,-,0.10%,1.90%,13.00%,3.10%,0.22,0.10M,2.25%,4.61%,0.10%,0.00%,113.50M
AFGE,,,,,,,,,,,,,,,,,,
AZEK,2.78,319.04,29.39,60.20,0.47,0.08,-,0.90%,4.70%,-53.10%,1.30%,0.90,13.10M,42.48%,28.59%,1.00%,0.00%,1.29B
PAUG,-,-,-,-,-,-,-,-,-,-,-,-,-,9.54%,9.56%,-,-,-
SPYG,-,-,-,-,-,-,0.96%,-,-,-,-,-,-,16.01%,19.97%,-,-,-
SKT,4.62,26.95,27.19,4.02,2.95,0.80,4.56%,17.20%,6.00%,14.50%,1.70%,0.79,84.20M,46.04%,20.23%,19.00%,109.10%,442.70M
HQH,0.90,-,-,-,-,-0.04,9.28%,-,-,-,-,-,-,-3.64%,-3.81%,-,-,-
BNJ,,,,,,,,,,,,,,,,,,
IGRO,-,-,-,-,-,-,3.42%,-,-,-,-,-,-,9.06%,8.55%,-,-,-
USDU,-,-,-,-,-,-,7.81%,-,-,-,-,-,-,0.05%,0.63%,-,-,-
FEHY,,,,,,,,,,,,,,,,,,
STIX,2.13,-,-,-,0.19,-0.88,-,-204.30%,-68.60%,-82.80%,35.61%,-0.26,-66.70M,-79.01%,136.26%,-,-,53.20M
TLYS,1.26,-,1396.00,-,0.00,-0.11,-,-1.80%,4.40%,-,0.90%,0.01,-3.10M,-10.05%,-24.86%,-0.50%,0.00%,650.10M
CGNT,2.09,-,-,-,0.00,-1.68,-,-50.40%,-56.90%,-113.20%,2.36%,-0.53,-114.10M,-4.43%,87.14%,-36.60%,-,312.10M
ONCY,6.29,-,-,-,0.02,-0.31,-,-87.90%,-,13.80%,1.80%,-0.34,-18.30M,111.11%,16.56%,-,-,-
DBA,-,-,-,-,-,-,0.44%,-,-,-,-,-,-,0.92%,8.73%,-,-,-
HOMB,1.33,14.09,11.74,2.82,0.00,1.68,3.04%,9.70%,15.30%,27.90%,0.70%,2.02,343.30M,11.43%,2.04%,33.70%,40.10%,1.02B
INFN,5.88,-,10.81,-,3.59,-0.20,-,-28.60%,-7.70%,80.80%,0.60%,0.46,-42.60M,-1.30%,-26.78%,-2.60%,-,1.63B
SNOA,0.73,-,-,-,0.00,-2.19,-,-92.90%,-50.90%,-103.60%,0.26%,-,-6.80M,-57.00%,15.18%,-54.10%,-,12.60M
ANZUU,-,39.81,-,-,-,0.26,-,-,-,-94.20%,-,-,-,3.44%,2.20%,-,0.00%,-
FGH,0.88,-,-,-,0.23,-0.53,-,-22.70%,-5.10%,-385.20%,6.20%,-,-10.30M,-15.79%,-20.61%,-25.00%,-,41.30M
DAL,4.38,14.51,6.18,0.42,3.51,2.96,-,35.70%,10.00%,61.50%,0.20%,6.94,1.90B,34.58%,30.89%,3.50%,0.00%,53.99B
IVOO,-,-,-,-,-,-,1.50%,-,-,-,-,-,-,11.55%,6.61%,-,-,-
LYV,-,135.44,64.57,-,-,0.67,-,-,11.50%,34.20%,2.30%,1.40,177.00M,4.35%,29.70%,-,0.00%,18.01B
GLSTU,,,,,,,,,,,,,,,,,,
NOTE,2.69,-,-,-,1.26,-1.86,-,-,-45.30%,5.80%,1.40%,-0.38,-244.10M,-70.59%,-53.95%,-,-,119.20M
VATE,-,-,-,-,-,-0.48,-,30.40%,2.10%,25.40%,2.10%,-,-37.40M,-21.43%,-14.71%,-2.40%,-,1.54B
TWLVU,,,,,,,,,,,,,,,,,,
BITE.U,,,,,,,,,,,,,,,,,,
RBOT,3.00,-,-,-,0.00,-0.52,-,-58.80%,-,-160.80%,6.10%,-0.69,-64.30M,-38.19%,4.95%,-,0.00%,-
MOBVU,,,,,,,,,,,,,,,,,,
OALC,,,,,,,,,,,,,,,,,,
USA,1.08,-,-,-,-,-1.61,9.43%,-,-,-66.90%,0.07%,-,-,1.44%,11.23%,-,-,24.60M
VRTX,6.23,27.81,21.83,3.37,0.03,12.55,-,24.50%,23.60%,-9.00%,0.10%,15.99,3.26B,37.30%,20.53%,35.40%,0.00%,9.21B
ACR$C,,,,,,,,,,,,,,,,,,
LGI,0.97,-,-,-,-,-3.87,7.24%,-,-,-48.70%,-,-,-,6.82%,7.77%,-,-,4.93M
---,,,,,,,,,,,,,,,,,,
ORC,0.88,-,15.50,-,8.35,-3.21,18.62%,-23.60%,-,102.20%,0.20%,0.67,-106.20M,-13.76%,-1.45%,-,-,16.10M
ARIZ,,,,,,,,,,,,,,,,,,
BBLG,9.65,-,-,-,0.00,-7.84,-,-96.30%,-,-245.60%,-,-6.35,-4.50M,-95.37%,-73.53%,-,-,-
SUM,2.08,15.09,21.74,1.51,0.76,2.28,-,14.00%,10.10%,8.40%,0.30%,1.58,275.60M,35.73%,20.11%,11.40%,0.00%,2.43B
RRAC,1.35,32.89,-,-,0.00,0.33,-,4.20%,-,-76.10%,-,-,12.20M,-,3.98%,-,0.00%,-
PSQ,-,-,-,-,-,-,1.34%,-,-,-,-,-,-,-25.58%,-27.40%,-,-,-
GMAY,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.77%,-,-,-
STRR,0.84,-,12.30,-,0.39,-0.20,-,-11.10%,-9.30%,99.10%,22.20%,0.10,-3.00M,50.44%,50.89%,-2.70%,-,112.80M
AGZD,-,-,-,-,-,-,3.23%,-,-,-,-,-,-,1.83%,1.55%,-,-,-
GSJY,-,-,-,-,-,-,1.83%,-,-,-,-,-,-,18.39%,16.51%,-,-,-
NCRA,,,,,,,,,,,,,,,,,,
RIDE,0.37,-,-,-,0.00,-22.89,-,-98.30%,-110.10%,-56.50%,12.40%,-22.17,-364.10M,-80.40%,-71.64%,-,-,0.40M
FDD,-,-,-,-,-,-,5.24%,-,-,-,-,-,-,1.27%,5.73%,-,-,-
TDW.B,,,,,,,,,,,,,,,,,,
MCAF,1.72,318.79,-,-,0.04,0.03,-,0.30%,-,240.20%,32.15%,-,0.10M,8.53%,4.55%,-,0.00%,-
XSHD,-,-,-,-,-,-,8.33%,-,-,-,-,-,-,-17.85%,-7.37%,-,-,-
TPOR,-,-,-,-,-,-,0.68%,-,-,-,-,-,-,16.52%,33.19%,-,-,-
IMAB,0.62,-,-,-,0.01,-4.27,-,-59.20%,-,-240.00%,0.75%,-,-352.60M,-69.31%,-28.11%,-,-,-221.56M
KKR$C,,,,,,,,,,,,,,,,,,
RFM,,,,,,,,,,,,,,,,,,
CID,-,-,-,-,-,-,6.87%,-,-,-,-,-,-,4.05%,6.01%,-,-,-
ISCF,-,-,-,-,-,-,2.73%,-,-,-,-,-,-,4.87%,4.45%,-,-,-
MSOS,-,-,-,-,-,-,-,-,-,-,-,-,-,-53.47%,-18.85%,-,-,-
DLY,-,-,-,-,-,-1.82,9.83%,-,-,-,-,-,-,-1.66%,8.23%,-,-,-
QCLN,-,-,-,-,-,-,0.40%,-,-,-,-,-,-,-2.98%,8.29%,-,-,-
CFG$D,,,,,,,,,,,,,,,,,,
HELX,-,-,-,-,-,-,-,-,-,-,-,-,-,3.19%,4.56%,-,-,-
SPXV,,,,,,,,,,,,,,,,,,
SATX.A,,,,,,,,,,,,,,,,,,
RXDX,13.60,-,-,-,0.00,-3.52,-,-33.50%,-,-4.80%,0.20%,-4.31,-150.60M,700.32%,81.75%,-,-,4.00M
BCX,-,5.91,-,-,-,1.57,6.70%,-,-,-,-,-,-,-10.26%,-6.93%,-,35.31%,-
ICOW,-,-,-,-,-,-,3.99%,-,-,-,-,-,-,5.38%,12.15%,-,-,-
LGSTU,,,,,,,,,,,,,,,,,,
SMBC,1.07,11.68,9.78,-,0.05,3.68,1.95%,9.30%,26.00%,-78.60%,0.50%,4.40,36.60M,-5.36%,-6.09%,21.50%,25.30%,153.70M
IHRT,1.19,-,4.49,-,11.66,-2.96,-,-67.30%,1.40%,-354.90%,1.90%,0.83,-438.30M,-60.31%,-42.82%,-11.30%,-,3.88B
ORLA,2.93,32.92,-,-,-,0.12,-,-,-,-29.50%,34.29%,-,-,12.36%,-2.10%,-,-,204.72M
JCPB,-,-,-,-,-,-,3.68%,-,-,-,-,-,-,-1.45%,1.51%,-,-,-
MLKN,0.77,16.40,7.90,0.55,1.01,0.89,5.15%,4.80%,1.00%,-96.80%,0.30%,1.84,67.40M,-48.17%,-31.89%,1.60%,42.00%,4.23B
DEM,-,-,-,-,-,-,6.98%,-,-,-,-,-,-,1.34%,12.12%,-,-,-
ICCH,,,,,,,,,,,,,,,,,,
IXAQU,,,,,,,,,,,,,,,,,,
CTVA,1.61,33.85,16.48,3.34,0.20,1.70,1.04%,4.60%,5.20%,7.20%,0.19%,3.50,1.23B,2.39%,-3.27%,6.60%,36.00%,17.74B
MAV,0.92,-,-,-,-,-0.88,4.57%,-,-,-,-,-,-,-7.85%,-2.84%,-,59.26%,-
MORT,-,-,-,-,-,-,13.56%,-,-,-,-,-,-,-11.09%,1.02%,-,-,-
GLMD,0.52,-,-,-,0.00,-7.84,-,-87.60%,-,70.30%,13.84%,-7.20,-13.60M,-44.20%,-49.78%,-,-,-
CTSO,5.41,-,-,-,0.17,-0.71,-,-82.60%,-75.30%,18.60%,5.80%,-0.14,-31.20M,74.63%,128.71%,-87.90%,-,35.40M
NM$H,,,,,,,,,,,,,,,,,,
ZURA,1.04,-,-,-,0.00,-2.56,-,-6.00%,-,-,24.20%,-,-6.40M,-14.14%,-16.75%,-,0.00%,-
NML,-,2.54,-,-,-,2.61,10.59%,-,-,-,-,-,-,4.42%,-0.75%,-,9.10%,-
SESG,,,,,,,,,,,,,,,,,,
KFFB,0.99,46.27,-,-,0.00,0.13,6.45%,2.10%,16.80%,-56.40%,63.22%,-,1.10M,-21.57%,-8.26%,9.30%,223.10%,11.80M
ZIVB,,,,,,,,,,,,,,,,,,
INVO,16.99,-,-,-,11.00,-0.87,-,-,5314.70%,11.00%,8.90%,-0.20,-10.70M,-79.85%,-57.88%,-,-,1.00M
