,P/B,P/E,Forward P/E,PEG,Debt/Eq,EPS (ttm),Dividend %,ROE,ROI,EPS Q/Q,Insider Own,EPS next Y,Income,Perf Year,Perf YTD,Profit Margin,Payout,Sales
AAPD,-,-,-,-,-,-,3.47%,-,-,-,-,-,-,-,-30.02%,-,-,-
CFLT,13.53,-,316.42,-,1.46,-1.73,-,-63.60%,-25.30%,-26.20%,0.40%,0.11,-492.10M,76.92%,55.13%,-77.60%,-,634.10M
DEF,-,-,-,-,-,-,1.43%,-,-,-,-,-,-,10.53%,3.25%,-,-,-
GEOS,0.83,-,-,-,0.00,-0.78,-,-8.10%,-19.20%,410.80%,4.30%,-,-10.10M,36.61%,85.17%,-9.20%,-,109.00M
CBFV,0.87,8.25,7.34,0.82,0.12,2.42,5.02%,11.00%,29.10%,39.20%,0.70%,2.72,12.40M,-10.96%,-5.97%,24.10%,40.10%,51.30M
AGZ,-,-,-,-,-,-,2.38%,-,-,-,-,-,-,-1.17%,0.62%,-,-,-
BNR,1.52,-,-,-,0.00,-1.22,-,-72.50%,-84.80%,27.70%,6.04%,-0.55,-125.90M,20.53%,10.89%,-,-,80.20M
LXEH,0.38,-,-,-,0.29,-0.08,-,-3.50%,-13.50%,-159.30%,-,-,-1.10M,-89.85%,-72.85%,-15.80%,-,6.90M
STKH,1.37,-,-,-,0.44,-1.64,-,-117.70%,-,-148.80%,-,-,-20.40M,-79.21%,-22.55%,-,-,-
FLLV,-,-,-,-,-,-,1.61%,-,-,-,-,-,-,11.56%,5.20%,-,-,-
OXSQZ,,,,,,,,,,,,,,,,,,
SAFE,0.71,-,14.24,-,0.00,-16.69,18.47%,-,-8.30%,-81.20%,-,1.68,-220.80M,-41.04%,-14.12%,-,-,158.10M
ZD,1.67,95.73,9.90,20.81,0.00,0.70,-,-,5.30%,-131.10%,0.90%,6.79,33.30M,-6.27%,-15.46%,-,0.00%,1.38B
SLG$I,,,,,,,,,,,,,,,,,,
PSCD,-,-,-,-,-,-,1.44%,-,-,-,-,-,-,13.76%,14.15%,-,-,-
BLND,3.37,-,-,-,3.05,-3.25,-,-469.80%,-218.80%,12.50%,0.60%,-0.28,-762.50M,-66.31%,-34.03%,-,-,201.00M
WTFCM,,,,,,,,,,,,,,,,,,
KALA,1.30,-,-,-,1.42,-14.78,-,-,-60.20%,68.80%,1.10%,-10.83,-26.30M,-25.87%,-62.23%,-,-,2.50M
TDTT,-,-,-,-,-,-,4.87%,-,-,-,-,-,-,-5.42%,0.25%,-,-,-
BDTX,0.78,-,-,-,0.00,-2.38,-,-69.30%,-,18.60%,0.40%,-1.75,-86.50M,-1.90%,15.00%,-,-,-
VTRS,0.57,6.36,3.45,-,0.90,1.56,4.83%,9.40%,2.20%,-43.40%,0.28%,2.88,1.90B,-4.77%,-8.45%,12.10%,30.50%,15.80B
WAFD,0.92,7.11,7.82,1.02,0.00,4.09,3.44%,13.40%,26.70%,36.00%,1.00%,3.72,267.50M,-6.95%,-14.61%,31.30%,23.70%,853.80M
APAC,7.76,46.87,-,-,0.08,0.23,-,4.20%,-,-135.20%,45.98%,-,6.30M,8.87%,5.16%,-,0.00%,-
T$A,,,,,,,,,,,,,,,,,,
QYLD,-,-,-,-,-,-,11.46%,-,-,-,-,-,-,0.39%,11.88%,-,-,-
EUFN,-,-,-,-,-,-,4.18%,-,-,-,-,-,-,18.52%,9.33%,-,-,-
MNPR,1.24,-,-,-,0.00,-0.82,-,-91.10%,-,4.70%,2.90%,-0.45,-10.50M,-56.15%,-62.07%,-,-,-
DNL,-,-,-,-,-,-,3.68%,-,-,-,-,-,-,8.20%,13.45%,-,-,-
GDXJ,-,-,-,-,-,-,2.53%,-,-,-,-,-,-,0.53%,4.45%,-,-,-
EMX,1.66,-,-,-,0.35,-0.18,-,-,-6.80%,-119.40%,28.92%,-,-19.00M,-8.72%,-5.82%,-,-,19.30M
CDRE,4.44,32.56,19.73,0.50,0.86,0.62,1.59%,14.40%,4.20%,163.10%,0.40%,1.02,23.00M,7.47%,1.76%,4.90%,51.40%,465.20M
AFB,0.94,-,-,-,-,-3.41,3.70%,-,-,-,-,-,-,-5.21%,0.76%,-,-,24.66M
IBMP,-,-,-,-,-,-,1.56%,-,-,-,-,-,-,0.12%,-0.16%,-,-,-
FNDX,-,-,-,-,-,-,1.97%,-,-,-,-,-,-,11.02%,7.78%,-,-,-
NU,6.68,-,27.96,-,3.18,-0.04,-,-3.60%,-1.70%,404.20%,9.19%,0.27,-177.70M,113.78%,84.89%,-3.20%,-,5.53B
FLBR,-,-,-,-,-,-,9.99%,-,-,-,-,-,-,0.52%,12.25%,-,-,-
SSL,0.86,4.48,-,-,0.65,3.21,8.64%,22.10%,15.40%,-1.90%,-,-,2.05B,-43.30%,-9.26%,12.50%,626.70%,16.33B
MOAT,-,-,-,-,-,-,1.01%,-,-,-,-,-,-,26.15%,23.39%,-,-,-
SRTS,1.04,7.88,11.17,-,0.00,0.38,-,13.50%,23.00%,-112.10%,8.10%,0.27,6.30M,-63.52%,-60.92%,16.70%,0.00%,37.60M
ARHS,5.16,8.21,11.25,13.69,0.21,1.11,-,83.70%,52.90%,110.50%,0.20%,0.81,154.70M,65.12%,-8.72%,12.00%,0.00%,1.29B
BSRR,0.84,7.42,7.29,0.93,0.28,2.33,5.31%,11.60%,22.60%,19.30%,9.50%,2.38,35.00M,-19.21%,-19.09%,26.10%,39.30%,133.90M
SITM,3.63,-,107.71,-,0.00,-0.01,-,0.10%,2.30%,-379.80%,4.90%,1.10,0.60M,-35.49%,16.07%,0.20%,0.00%,251.70M
BOH,1.53,8.67,10.63,0.96,0.01,5.29,6.10%,18.30%,25.80%,-14.10%,0.60%,4.32,209.90M,-38.24%,-41.55%,32.00%,52.70%,655.10M
CAE,2.00,40.52,13.92,2.10,0.72,0.52,-,5.20%,5.30%,78.40%,1.10%,1.52,166.80M,-8.28%,12.20%,5.30%,0.00%,3.15B
SIHY,,,,,,,,,,,,,,,,,,
MMAT,0.21,-,-,-,0.01,-0.23,-,-20.40%,-19.20%,21.70%,0.40%,-0.08,-79.30M,-85.07%,-80.81%,-,-,8.60M
GATX,2.14,28.98,18.49,2.42,3.04,4.40,1.73%,7.80%,3.40%,2.70%,0.70%,6.89,157.50M,28.85%,18.02%,12.20%,47.30%,1.30B
HES,5.10,20.73,15.29,2.61,1.05,6.55,1.29%,26.40%,16.50%,-16.20%,0.10%,8.88,2.02B,16.58%,-3.69%,17.70%,23.70%,11.42B
ISUN,0.47,-,-,-,0.70,-3.63,-,-129.00%,-158.20%,18.30%,16.10%,-0.15,-53.90M,-84.69%,-59.33%,-68.40%,-,78.70M
LDI,0.88,-,12.62,-,10.24,-1.74,15.46%,-59.80%,-5.90%,-0.50%,7.70%,0.16,-281.20M,5.29%,20.61%,-22.00%,-,1.28B
TRST,0.97,7.85,10.30,1.57,0.00,3.98,4.61%,12.70%,26.00%,4.80%,2.40%,3.03,75.90M,-0.32%,-18.41%,38.10%,35.70%,199.20M
ISEE,11.04,-,-,-,0.20,-1.76,-,-57.00%,-,-81.20%,0.40%,-1.31,-222.90M,277.24%,80.78%,-,-,-
QRVO,2.62,111.06,13.95,11.11,0.00,0.92,-,2.50%,2.60%,-171.20%,0.50%,7.35,103.20M,4.24%,13.31%,2.90%,0.00%,3.57B
GQRE,-,-,-,-,-,-,2.85%,-,-,-,-,-,-,-5.73%,1.31%,-,-,-
KALL,-,-,-,-,-,-,5.93%,-,-,-,-,-,-,-13.34%,0.15%,-,-,-
RNLC,-,-,-,-,-,-,1.45%,-,-,-,-,-,-,2.80%,8.16%,-,-,-
SGBX,1.14,-,-,-,0.60,-0.81,-,-68.70%,-36.10%,-320.50%,9.60%,-0.43,-11.10M,-47.03%,-28.47%,-52.20%,-,21.30M
SEEL,-,-,-,-,-,-0.68,-,-,-,10.00%,2.81%,-0.41,-73.00M,43.38%,48.75%,-,-,0.80M
AFLG,-,-,-,-,-,-,1.44%,-,-,-,-,-,-,6.20%,9.20%,-,-,-
LKFN,2.33,13.51,15.09,1.35,0.00,4.06,3.35%,18.60%,30.30%,2.50%,1.00%,3.64,104.50M,-20.88%,-26.61%,38.60%,30.80%,270.80M
CMCO,1.42,24.68,12.49,1.07,0.57,1.68,0.67%,6.00%,5.50%,17.00%,1.80%,3.32,48.40M,35.05%,27.69%,5.20%,16.50%,936.20M
NNDM,0.54,-,-,-,0.01,-0.88,-,-18.20%,-14.70%,43.30%,0.88%,-,-227.40M,-17.90%,8.15%,-,-,43.60M
PM,-,16.93,13.78,2.27,-,5.60,5.36%,-96.40%,29.30%,-14.50%,0.16%,6.88,8.69B,-2.66%,-5.55%,27.10%,90.00%,32.03B
EVRG,1.44,17.78,15.05,6.66,1.30,3.35,4.11%,8.20%,5.70%,16.40%,0.20%,3.96,772.80M,-2.53%,-5.04%,13.00%,69.30%,5.93B
BOTZ,-,-,-,-,-,-,0.16%,-,-,-,-,-,-,39.68%,44.71%,-,-,-
RNXT,6.22,-,-,-,0.00,-1.12,-,-146.50%,-,-7.30%,0.30%,-0.80,-10.10M,1.94%,-10.64%,-,-,-
AGI,1.30,38.66,23.80,-,0.00,0.31,1.11%,3.50%,1.70%,662.10%,0.29%,0.51,125.50M,69.01%,21.36%,10.60%,31.50%,1.19B
APRQ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.43%,-,-,-
BBLN,-,-,-,-,-,-12.83,-,-,-,-47.90%,42.64%,-6.04,-255.60M,-98.06%,-91.58%,-,-,1.15B
TOVX,0.22,-,-,-,0.01,-1.29,-,-37.30%,-,4.20%,0.64%,-1.30,-20.20M,-66.15%,48.86%,-,-,-
CIM$C,,,,,,,,,,,,,,,,,,
SKIL,0.46,-,-,-,1.30,-4.93,-,-110.50%,-65.80%,-83.30%,3.30%,-0.49,-810.50M,-68.84%,5.00%,-,-,555.80M
MEDI,,,,,,,,,,,,,,,,,,
TGAA,,,,,,,,,,,,,,,,,,
TGH$B,,,,,,,,,,,,,,,,,,
STCE,-,-,-,-,-,-,13.32%,-,-,-,-,-,-,-,33.61%,-,-,-
VRRM,11.74,33.82,15.00,4.37,4.85,0.55,-,38.40%,9.20%,-52.10%,0.60%,1.25,87.00M,19.34%,35.65%,11.40%,0.00%,763.10M
ELTX,1.06,-,-,-,0.00,-9.68,-,-60.20%,-89.80%,68.30%,5.60%,-,-29.10M,-24.50%,40.46%,-,-,0.70M
NOC,4.57,14.66,18.44,7.71,0.98,30.90,1.65%,33.00%,9.40%,-9.90%,0.10%,24.55,4.78B,-0.23%,-16.16%,12.90%,22.30%,37.11B
TROW,2.85,18.81,16.40,-,0.01,6.10,4.25%,15.40%,21.00%,-24.40%,0.80%,6.99,1.38B,4.11%,5.08%,22.40%,78.70%,6.16B
HII,2.45,15.41,13.21,2.08,0.81,14.18,2.27%,17.40%,6.60%,-7.60%,0.10%,16.54,568.00M,6.95%,-4.65%,5.30%,34.10%,10.77B
WEA,0.96,-,-,-,-,-2.30,7.31%,-,-,-,0.02%,-,-,1.82%,1.53%,-,-,12.94M
DVAL,-,-,-,-,-,-,1.57%,-,-,-,-,-,-,-,2.01%,-,-,-
BANX,0.82,23.33,7.50,-,-,0.73,9.16%,-,-,71.20%,0.39%,2.27,-,-5.30%,2.52%,-,219.66%,21.53M
UBX,0.78,-,-,-,0.35,-5.02,-,-85.10%,-65.80%,72.90%,1.20%,-3.55,-51.90M,-46.97%,15.40%,-,-,0.20M
IVDA,2.22,-,-,-,0.05,-0.24,-,-44.70%,-40.10%,93.60%,6.72%,-0.03,-3.20M,-15.49%,116.22%,-50.10%,-,6.40M
VNDA,0.67,22.97,-,0.64,0.00,0.28,-,3.10%,0.20%,149.40%,3.40%,-0.95,16.00M,-34.80%,-14.95%,6.20%,0.00%,256.70M
VRA,0.76,-,9.08,-,0.00,-1.85,-,-21.80%,-31.50%,28.80%,3.00%,0.68,-57.40M,27.94%,34.44%,-11.60%,-,495.90M
TKLF,1.22,33.08,-,-,2.07,0.04,-,-,3.90%,-79.00%,88.45%,-,1.70M,-1.50%,6.51%,-,0.00%,192.20M
EXAS,5.46,-,-,-,0.78,-2.92,-,-16.60%,-11.00%,60.00%,0.70%,-1.33,-516.70M,142.18%,89.25%,-23.50%,-,2.20B
PSC,-,-,-,-,-,-,1.81%,-,-,-,-,-,-,6.70%,6.18%,-,-,-
PLD,2.13,36.76,41.80,-,0.48,3.31,2.86%,6.10%,2.80%,-67.70%,0.32%,2.91,2.67B,7.40%,9.65%,41.00%,97.30%,6.52B
ANGH,-,-,-,-,-,-2.37,-,-,-,-,45.39%,-,-,-80.00%,-22.88%,-,-,48.48M
VOOG,-,-,-,-,-,-,0.88%,-,-,-,-,-,-,16.11%,20.06%,-,-,-
HTD,0.89,-,-,-,-,-0.75,8.17%,-,-,-,0.03%,-,-,-8.49%,-10.64%,-,-,56.87M
AGNG,,,,,,,,,,,,,,,,,,
SQM,3.79,5.33,7.55,-,0.55,13.51,14.68%,83.60%,50.70%,-5.80%,72.40%,9.54,3.86B,-22.49%,-8.81%,35.20%,78.20%,10.95B
UIS,17.32,-,-,-,30.31,-3.30,-,272.20%,2.00%,-203.60%,0.20%,-0.02,-224.10M,-63.11%,-15.75%,-10.90%,-,2.05B
TCBC,,,,,,,,,,,,,,,,,,
AVIV,-,-,-,-,-,-,3.18%,-,-,-,-,-,-,10.92%,11.66%,-,-,-
DBRG,3.49,-,-,-,8.37,-1.89,0.28%,-42.30%,-6.80%,-5.10%,0.50%,-0.98,-300.70M,-27.35%,28.84%,-29.20%,-,1.14B
FTAG,-,-,-,-,-,-,1.80%,-,-,-,-,-,-,-6.93%,-2.03%,-,-,-
VANI,1.95,-,-,-,0.00,-0.38,-,-,-,-16.80%,7.90%,-,-16.30M,-76.79%,75.36%,-,-,-
AXR,0.81,2.91,-,-,0.00,5.67,-,35.20%,18.40%,1721.30%,2.50%,-,32.10M,26.47%,39.83%,51.40%,0.00%,62.40M
SDD,-,-,-,-,-,-,0.96%,-,-,-,-,-,-,-20.23%,-9.82%,-,-,-
MPLX,2.87,8.67,8.81,1.14,1.80,3.91,9.14%,33.70%,15.10%,17.00%,0.10%,3.85,3.94B,13.23%,4.51%,35.10%,75.70%,11.21B
HRT,1.57,6.98,6.68,1.79,1.28,1.57,-,23.30%,14.10%,-170.30%,0.80%,1.64,125.10M,-28.15%,-6.83%,16.00%,0.00%,783.40M
PRPO,0.71,-,4.78,-,0.04,-0.47,-,-61.50%,-75.60%,35.40%,0.20%,0.09,-10.60M,-61.47%,-23.83%,-,-,9.80M
RF$E,,,,,,,,,,,,,,,,,,
EFA,-,-,-,-,-,-,4.18%,-,-,-,-,-,-,16.67%,12.19%,-,-,-
EFSC,1.02,7.53,7.84,0.84,0.10,5.54,2.40%,14.50%,26.00%,19.10%,2.00%,5.32,207.30M,-3.08%,-14.62%,35.90%,16.90%,577.50M
TNA,-,-,-,-,-,-,0.38%,-,-,-,-,-,-,0.74%,10.17%,-,-,-
AACG,2.46,-,-,-,0.00,-0.22,-,-35.60%,-35.40%,-12.00%,18.70%,-0.99,-7.00M,41.55%,12.28%,-24.10%,-,29.10M
TYA,-,-,-,-,-,-,3.39%,-,-,-,-,-,-,-11.20%,-0.63%,-,-,-
PAHC,2.04,19.43,10.28,5.40,1.77,0.71,3.50%,10.70%,8.00%,-43.20%,0.54%,1.33,28.60M,-24.69%,2.61%,2.90%,68.00%,978.10M
MIY,0.84,-,-,-,-,-1.26,3.75%,-,-,-,-,-,-,-16.22%,-1.26%,-,-,24.57M
LEN.B,,,,,,,,,,,,,,,,,,
TTD,19.51,540.35,52.39,22.51,0.00,0.14,-,4.00%,1.90%,161.90%,0.20%,1.48,77.30M,59.43%,71.20%,4.70%,0.00%,1.65B
KLAC,24.28,19.27,22.89,3.71,0.00,24.52,1.10%,159.60%,43.30%,4.20%,0.30%,20.65,3.51B,46.13%,25.49%,33.00%,20.10%,10.63B
SCRMU,-,-,-,-,-,-,-,-,-,-18.90%,-,-,-,4.66%,3.19%,-,0.00%,-
PRTG,0.37,-,-,-,0.00,-1.17,-,-11.90%,-,-66.90%,16.90%,-0.93,-17.50M,-58.99%,-30.76%,-,-,-
GDO,-,-,-,-,-,-4.22,9.78%,-,-,-,-,-,-,-10.54%,-2.13%,-,-,-
PSA$G,,,,,,,,,,,,,,,,,,
JUN,1.30,28.46,-,-,0.00,0.36,-,4.60%,-,-67.60%,0.84%,-,13.60M,5.15%,2.05%,-,0.00%,-
SBFG,0.75,7.55,8.32,-,0.25,1.72,4.01%,10.20%,24.70%,-11.80%,1.50%,1.56,12.10M,-30.60%,-25.72%,24.80%,28.20%,49.00M
DIN,-,11.31,8.62,1.38,-,5.36,3.37%,-,7.30%,20.40%,0.10%,7.03,81.40M,-13.91%,-8.00%,-,40.52%,892.70M
CMF,-,-,-,-,-,-,2.08%,-,-,-,-,-,-,1.96%,1.38%,-,-,-
QBTS,-,-,-,-,-,-0.55,-,-,-,-115.70%,35.20%,-0.59,-64.50M,-80.49%,34.03%,-,-,7.00M
CFMS,0.19,-,-,-,0.46,-6.08,-,-75.40%,-61.80%,41.00%,3.50%,-4.63,-44.00M,-84.52%,-63.86%,-74.20%,-,59.30M
HYG,-,-,-,-,-,-,5.57%,-,-,-,-,-,-,-0.05%,1.83%,-,-,-
ATCOL,,,,,,,,,,,,,,,,,,
PFIE,1.14,9.84,10.00,0.47,0.00,0.12,-,12.80%,7.40%,312.30%,23.31%,0.12,5.90M,-5.34%,16.98%,11.60%,0.00%,51.00M
DFAC,-,-,-,-,-,-,1.57%,-,-,-,-,-,-,14.18%,11.12%,-,-,-
SATO,,,,,,,,,,,,,,,,,,
MLYS,2.15,-,-,-,0.00,-0.87,-,-,-,7.20%,25.90%,-2.78,-,-,-16.92%,-,-,-
IQDY,-,-,-,-,-,-,5.01%,-,-,-,-,-,-,7.55%,12.01%,-,-,-
DSWL,0.49,13.06,-,-,0.00,0.21,7.40%,3.80%,3.20%,-136.60%,16.30%,-,3.40M,-14.57%,-13.57%,3.70%,94.50%,90.60M
SONX,1.56,-,-,-,0.00,-1.45,-,-79.60%,-45.30%,72.00%,2.70%,-0.51,-56.90M,-49.35%,-61.52%,-,-,43.30M
NBXG,-,-,-,-,-,-8.22,11.10%,-,-,-,0.08%,-,-,7.17%,18.31%,-,-,-
SAMA,1.33,1041.00,-,-,0.00,0.01,-,0.10%,-,296.90%,-,-,0.20M,-,3.07%,-,0.00%,-
ERTH,-,-,-,-,-,-,1.18%,-,-,-,-,-,-,-7.47%,4.42%,-,-,-
OCIO,,,,,,,,,,,,,,,,,,
CREG,0.13,-,-,-,0.15,-0.61,-,-3.80%,-,77.00%,30.23%,-,-4.50M,-40.90%,-23.85%,-,-,-
NIMC,6.81,65.56,-,-,-,1.54,7.67%,-,-,-22.00%,-,-,-,-10.87%,-1.72%,-,50.96%,5.94B
PCG$A,,,,,,,,,,,,,,,,,,
MTH,1.18,5.34,8.14,-,0.28,24.50,0.83%,24.00%,19.50%,-38.90%,0.30%,16.07,906.20M,76.67%,41.98%,14.40%,1.10%,6.29B
JUGGU,,,,,,,,,,,,,,,,,,
RZV,-,-,-,-,-,-,1.42%,-,-,-,-,-,-,5.84%,3.91%,-,-,-
SHM,-,-,-,-,-,-,0.84%,-,-,-,-,-,-,0.02%,-0.17%,-,-,-
ILAG,1.03,-,-,-,0.03,-0.09,-,-22.80%,-11.30%,-63.10%,51.83%,-,-1.70M,-,27.27%,-13.60%,-,12.20M
DBEF,-,-,-,-,-,-,1.73%,-,-,-,-,-,-,18.33%,15.47%,-,-,-
UBT,-,-,-,-,-,-,0.83%,-,-,-,-,-,-,-17.58%,4.06%,-,-,-
MSFT,13.31,37.73,31.80,3.12,0.33,9.23,0.78%,38.50%,31.30%,10.40%,0.05%,10.95,69.02B,37.45%,44.29%,33.20%,28.10%,207.59B
PSNY,-,-,-,-,-,-0.24,-,-,-70.50%,-,47.97%,-0.45,-465.80M,-59.70%,-24.86%,-,-,2.46B
AAA,,,,,,,,,,,,,,,,,,
BOND,-,-,-,-,-,-,3.68%,-,-,-,-,-,-,-2.40%,1.39%,-,-,-
PRT,0.72,4.84,-,0.97,0.00,0.98,16.54%,14.70%,15.20%,-12.80%,45.40%,-,12.00M,-45.21%,-36.96%,93.80%,90.50%,12.80M
NMAI,,,,,,,,,,,,,,,,,,
DRS,2.05,9.53,20.76,-,0.28,1.77,-,20.40%,17.50%,-73.20%,80.79%,0.81,381.00M,43.51%,29.81%,14.40%,0.00%,2.65B
HOLI,0.89,10.46,10.68,0.66,0.03,1.68,1.82%,8.90%,4.80%,-27.50%,40.50%,1.65,104.20M,14.31%,5.96%,13.60%,0.00%,764.50M
CHDN,14.71,18.94,16.55,0.63,6.28,7.27,0.26%,89.50%,3.00%,276.60%,2.90%,8.32,554.30M,47.80%,29.84%,27.60%,4.90%,2.01B
GABC,1.45,9.39,11.46,1.04,0.00,3.17,3.35%,16.80%,27.80%,128.70%,0.60%,2.60,93.60M,-18.49%,-21.57%,40.70%,29.60%,230.10M
TLTD,-,-,-,-,-,-,2.48%,-,-,-,-,-,-,10.12%,9.28%,-,-,-
DRH,1.06,17.26,15.51,-,0.74,0.46,1.50%,6.20%,5.40%,-10.90%,0.20%,0.52,98.60M,-13.09%,-2.32%,9.40%,19.40%,1.05B
FGD,-,-,-,-,-,-,5.66%,-,-,-,-,-,-,-2.57%,1.59%,-,-,-
VVX,1.43,-,19.45,-,1.34,-0.61,-,-4.20%,2.10%,-335.60%,0.30%,2.32,-34.70M,39.24%,9.87%,-1.00%,-,3.38B
BSCU,,,,,,,,,,,,,,,,,,
SFLR,-,-,-,-,-,-,0.69%,-,-,-,-,-,-,-,13.40%,-,-,-
EQH,4.41,7.86,4.14,0.40,5.67,3.40,3.30%,66.70%,4.50%,-66.00%,0.20%,6.46,1.31B,-0.27%,-7.33%,10.60%,23.40%,12.38B
TLH,-,-,-,-,-,-,3.29%,-,-,-,-,-,-,-5.25%,2.16%,-,-,-
IDBA,3.12,-,-,-,-,-2.17,-,-,-,-,2.97%,-0.29,-,-78.45%,-34.49%,-,-,4.34M
CRD.B,,,,,,,,,,,,,,,,,,
BFTR,-,-,-,-,-,-,-,-,-,-,-,-,-,20.75%,16.46%,-,-,-
EKG,,,,,,,,,,,,,,,,,,
TVAL,,,,,,,,,,,,,,,,,,
KVHI,1.15,-,21.64,-,0.00,-0.05,-,19.40%,-3.50%,99.70%,3.40%,0.45,-0.90M,20.72%,-4.79%,19.60%,0.00%,146.70M
RMR,1.77,8.95,12.34,-,0.00,2.65,6.73%,21.10%,36.40%,27.60%,1.40%,1.93,43.90M,-16.50%,-15.91%,4.80%,59.70%,912.40M
FLMX,-,-,-,-,-,-,3.23%,-,-,-,-,-,-,36.69%,29.25%,-,-,-
SGOL,-,-,-,-,-,-,-,-,-,-,-,-,-,6.74%,7.36%,-,-,-
FNGD,-,-,-,-,-,-,-,-,-,-,-,-,-,-86.72%,-85.20%,-,-,-
TOTL,-,-,-,-,-,-,4.92%,-,-,-,-,-,-,-3.79%,0.92%,-,-,-
DFND,-,-,-,-,-,-,1.09%,-,-,-,-,-,-,7.77%,7.29%,-,-,-
NBCM,-,-,-,-,-,-,14.55%,-,-,-,-,-,-,-,-4.36%,-,-,-
PWUPU,,,,,,,,,,,,,,,,,,
MBSC.U,,,,,,,,,,,,,,,,,,
PT,-,-,-,-,-,-3.14,-,67.90%,332.90%,92.70%,6.88%,-,-26.70M,-47.95%,180.97%,-,-,10.50M
NEE$N,,,,,,,,,,,,,,,,,,
SKOR,-,-,-,-,-,-,3.02%,-,-,-,-,-,-,-0.45%,0.97%,-,-,-
REBN,3.11,-,-,-,0.21,-0.32,-,-124.20%,-70.80%,-83.20%,75.40%,-,-4.00M,-,1.22%,-,-,3.60M
FOX,1.57,14.54,13.43,1.58,-,2.17,1.58%,-,-,-,43.16%,2.35,-,3.48%,10.72%,-,22.66%,14.91B
MBTCU,,,,,,,,,,,,,,,,,,
NFTY,,,,,,,,,,,,,,,,,,
CLIN,1.42,140.54,-,-,0.00,0.07,-,-,-,499.80%,3.72%,-,2.20M,-,2.97%,-,0.00%,-
DLR,1.86,93.18,76.15,8.46,1.08,1.13,4.63%,2.00%,1.50%,-9.30%,0.12%,1.38,334.70M,-18.12%,5.28%,6.80%,314.00%,4.90B
ASST,4.49,-,-,-,0.03,-0.17,-,-,-161.30%,-,33.83%,-,-1.60M,-,-43.38%,-,-,0.30M
AMNB,1.00,9.51,11.45,2.38,0.09,3.25,3.88%,10.70%,22.80%,2.90%,3.70%,2.70,34.60M,-9.88%,-17.52%,33.60%,35.70%,102.90M
ALC,2.01,115.56,26.26,6.89,-,0.70,-,-,-,3.60%,0.06%,3.08,-,21.94%,18.27%,-,-,8.88B
DFEN,-,-,-,-,-,-,0.66%,-,-,-,-,-,-,41.08%,3.31%,-,-,-
MLN,-,-,-,-,-,-,2.85%,-,-,-,-,-,-,3.05%,2.63%,-,-,-
MGYR,0.67,8.60,-,-,0.00,1.23,1.13%,8.10%,23.80%,13.00%,4.50%,-,8.20M,-8.87%,-18.33%,24.50%,9.70%,33.30M
ARAV,-,-,-,-,-,-2.24,-,-,-,-6.80%,2.20%,-1.25,-113.20M,40.37%,15.91%,-,-,9.50M
BSTZ,-,-,-,-,-,-17.03,10.80%,-,-,-,-,-,-,-12.37%,15.09%,-,-,-
TNET,7.17,17.90,15.96,2.45,0.96,5.50,-,42.40%,29.30%,-1.30%,0.70%,6.17,341.00M,32.75%,45.04%,6.90%,0.00%,4.91B
PWV,-,-,-,-,-,-,2.41%,-,-,-,-,-,-,5.12%,-1.32%,-,-,-
CSX,5.59,16.48,16.13,2.01,1.45,2.04,1.31%,33.70%,15.60%,22.40%,0.30%,2.08,4.29B,13.49%,7.78%,28.40%,20.10%,15.15B
PBTP,-,-,-,-,-,-,4.72%,-,-,-,-,-,-,-4.76%,1.68%,-,-,-
WBIF,-,-,-,-,-,-,1.33%,-,-,-,-,-,-,-4.53%,1.94%,-,-,-
XITK,-,-,-,-,-,-,0.08%,-,-,-,-,-,-,20.43%,31.56%,-,-,-
SVFD,0.66,-,-,-,0.00,-1.58,-,-109.70%,-100.30%,22.20%,32.43%,-,-6.10M,-79.68%,-10.66%,-,-,0.40M
USEG,0.48,30.20,16.44,1.21,0.16,0.05,6.08%,1.50%,6.00%,65.30%,25.50%,0.09,1.20M,-59.73%,-34.35%,2.70%,174.70%,44.00M
CDNS,21.79,76.14,41.59,4.34,0.23,3.12,-,31.10%,25.10%,4.20%,0.60%,5.72,855.40M,60.78%,47.85%,23.20%,0.00%,3.68B
OEUR,-,-,-,-,-,-,2.02%,-,-,-,-,-,-,29.00%,20.63%,-,-,-
GER,-,2.84,-,-,-,5.49,6.16%,-,-,-,0.02%,-,-,34.48%,23.75%,-,14.99%,-
LGND,2.09,26.09,18.02,1.04,0.12,3.03,-,3.30%,-5.00%,415.70%,4.40%,4.38,53.80M,53.80%,17.49%,12.30%,0.00%,194.50M
HFXI,-,-,-,-,-,-,4.65%,-,-,-,-,-,-,12.78%,13.37%,-,-,-
SEPZ,,,,,,,,,,,,,,,,,,
NATH,-,16.79,-,-,-,4.79,2.49%,-41.60%,78.20%,52.60%,1.30%,-,19.60M,53.25%,19.77%,15.00%,38.60%,130.80M
CTOS,1.95,31.81,20.08,0.89,1.55,0.23,-,6.40%,4.20%,521.60%,4.42%,0.36,56.00M,46.79%,12.18%,3.40%,0.00%,1.66B
ARIS,0.90,34.91,9.78,-,1.40,0.27,3.83%,2.60%,4.60%,211.00%,4.10%,0.96,7.30M,-51.03%,-34.28%,2.10%,133.20%,341.60M
