,P/B,P/E,Forward P/E,PEG,Debt/Eq,EPS (ttm),Dividend %,ROE,ROI,EPS Q/Q,Insider Own,EPS next Y,Income,Perf Year,Perf YTD,Profit Margin,Payout,Sales
GOSS,-,-,-,-,-,-2.50,-,-,-,31.90%,1.20%,-1.43,-220.80M,-83.49%,-42.17%,-,-,-
KBWY,-,-,-,-,-,-,9.65%,-,-,-,-,-,-,-29.19%,-14.51%,-,-,-
LCA,17.43,97.21,-,-,0.25,0.10,-,5.00%,-,-172.70%,-,-,12.20M,4.01%,1.00%,-,0.00%,-
BLNK,1.17,-,-,-,0.00,-2.11,-,-36.70%,-34.20%,-47.90%,5.00%,-1.55,-106.20M,-60.72%,-39.88%,-,-,73.00M
SLRN,-,-,-,-,-,-11.04,-,-,-,-,-,-,-,-,-23.55%,-,-,-
TETE,,,,,,,,,,,,,,,,,,
BKSC,2.00,11.93,-,-,0.00,1.17,4.86%,15.80%,43.80%,17.80%,7.00%,-,6.70M,-17.14%,-15.12%,33.30%,59.10%,19.20M
OTRK,1.94,-,-,-,1.50,-2.24,-,-479.60%,-278.00%,53.80%,0.10%,-,-54.20M,-75.96%,26.22%,-,-,11.80M
HNNA,0.62,10.90,-,-,0.45,0.66,7.68%,5.80%,6.50%,-26.00%,41.40%,-,5.00M,-29.25%,-15.36%,19.60%,83.00%,25.40M
MOTS,-,-,-,-,-,-5.26,-,-,-,50.40%,2.10%,-1.90,-18.20M,-87.71%,-19.64%,-,-,0.60M
AVHIU,,,,,,,,,,,,,,,,,,
VALN,3.99,-,-,-,-,-2.38,-,-,-,-,-,-0.11,-,-51.44%,-10.93%,-,-,372.96M
SLRC,0.77,32.11,8.36,-,-,0.44,11.61%,-,-,-,7.69%,1.69,-,-12.02%,0.00%,-,461.74%,-
FTGS,,,,,,,,,,,,,,,,,,
AUVI,1.40,-,-,-,0.17,-0.28,-,-45.50%,-81.10%,-100.60%,45.44%,-0.06,-18.00M,-63.40%,-60.44%,-58.70%,-,20.10M
CPSH,2.68,20.47,-,-,0.00,0.15,-,14.10%,9.40%,9.60%,0.20%,-,2.20M,-17.03%,12.27%,8.00%,0.00%,27.00M
LPSN,4.38,-,-,-,8.98,-2.38,-,-207.10%,-27.70%,72.90%,0.90%,-0.96,-177.80M,-78.91%,-64.55%,-36.10%,-,492.30M
ZINGU,,,,,,,,,,,,,,,,,,
FSFG,0.52,8.32,4.31,-,0.30,1.52,4.43%,6.60%,23.70%,-45.00%,7.70%,2.94,10.60M,-48.67%,-37.20%,12.10%,34.60%,87.90M
LIFW,10.48,-,-,-,1.65,-0.17,-,-,14.60%,93.80%,0.90%,-,-,-65.60%,-62.59%,-,-,27.14M
DGICB,,,,,,,,,,,,,,,,,,
CLOA,,,,,,,,,,,,,,,,,,
RVPH,9.77,-,-,-,0.00,-1.35,-,-138.90%,-,-49.10%,0.70%,-0.83,-24.30M,231.23%,33.27%,-,-,-
TRNR,-,-,-,-,-,-4.06,-,-,-648.50%,-,-,-,-58.20M,-,-23.52%,-,-,0.70M
RXRX,3.94,-,-,-,0.00,-1.38,-,-57.10%,-50.50%,-4.00%,5.50%,-1.60,-248.80M,39.71%,11.80%,-,-,46.60M
CNSP,0.96,-,-,-,0.09,-11.53,-,-220.90%,-,-6.20%,14.23%,-,-17.40M,-79.90%,-25.90%,-,-,-
BIOSU,,,,,,,,,,,,,,,,,,
PRSO,1.45,-,-,-,0.00,-1.38,-,-130.40%,-,57.30%,1.10%,-0.03,-28.80M,-52.21%,33.56%,-,-,16.50M
FLN,-,-,-,-,-,-,5.21%,-,-,-,-,-,-,-13.93%,5.37%,-,-,-
UTAAU,,,,,,,,,,,,,,,,,,
DNUT,2.09,-,34.20,-,0.68,-0.12,0.93%,-1.70%,1.40%,-108.40%,2.80%,0.44,-19.90M,0.37%,44.14%,-1.30%,-,1.58B
URGN,-,-,-,-,-,-4.86,-,144.00%,-997.50%,-3.40%,1.90%,-3.23,-111.60M,74.77%,6.99%,-,-,68.00M
SAVA,4.66,-,-,-,0.00,-2.04,-,-39.10%,-,-32.60%,2.70%,-1.80,-83.00M,-13.77%,-22.17%,-,-,-
TCBS,,,,,,,,,,,,,,,,,,
OXSQL,,,,,,,,,,,,,,,,,,
INCY,3.09,42.73,13.19,2.85,0.01,1.45,-,7.60%,8.90%,-43.50%,0.40%,4.69,324.40M,-19.48%,-22.62%,9.30%,0.00%,3.47B
HUDAU,,,,,,,,,,,,,,,,,,
VEON,2.24,7.15,-,-,0.00,2.63,-,-,-,-,39.60%,-,186.00M,47.12%,56.12%,-,-,7.89B
HEXO,0.17,-,-,-,0.75,-8.54,-,-97.90%,-182.10%,100.10%,3.03%,-0.70,-295.00M,-71.94%,-3.73%,-,-,148.10M
XP,2.87,14.45,10.19,1.05,2.30,1.25,-,20.80%,5.70%,-0.10%,19.35%,1.77,699.20M,-24.72%,15.03%,26.40%,0.00%,2.65B
XT,-,-,-,-,-,-,0.69%,-,-,-,-,-,-,0.52%,11.73%,-,-,-
OTEX,2.72,37.21,8.87,2.27,2.20,1.11,2.34%,7.50%,6.00%,-22.80%,2.30%,4.67,301.30M,4.01%,39.10%,7.70%,85.20%,3.90B
VGIT,-,-,-,-,-,-,2.10%,-,-,-,-,-,-,-4.10%,1.63%,-,-,-
OMQS,-,-,-,-,-,-1.92,-,-,-279.90%,-26.90%,0.70%,-0.18,-14.70M,-16.67%,20.27%,-,-,104.00M
HALO,67.04,25.21,9.01,0.97,22.68,1.30,-,116.10%,13.00%,-32.50%,0.80%,3.65,181.60M,-32.86%,-43.01%,25.80%,0.00%,705.00M
EEMA,-,-,-,-,-,-,1.52%,-,-,-,-,-,-,-7.49%,0.84%,-,-,-
FAT,-,-,-,-,-,-8.14,9.59%,78.60%,-6.60%,-34.40%,3.50%,-3.80,-134.60M,-12.84%,16.64%,-32.40%,-,415.50M
FID,-,-,-,-,-,-,4.30%,-,-,-,-,-,-,-12.70%,-0.56%,-,-,-
NAII,0.51,12.83,-,-,0.22,0.60,-,4.10%,10.90%,-198.80%,2.50%,-,3.60M,-21.04%,-6.83%,2.10%,0.00%,170.60M
SAL,1.07,9.44,7.33,-,0.22,2.64,2.57%,11.80%,24.70%,-15.70%,8.22%,3.40,15.10M,-2.61%,-22.20%,28.00%,24.20%,53.80M
CELH,117.51,-,55.76,-,0.00,-2.28,-,-162.70%,-476.30%,412.70%,0.50%,2.23,-171.00M,74.36%,18.75%,-21.90%,-,780.20M
ANGN,0.75,-,-,-,0.00,-0.97,-,-60.20%,-89.80%,68.30%,5.60%,-0.53,-29.10M,-37.33%,15.82%,-,-,0.70M
SGIIU,,,,,,,,,,,,,,,,,,
NFLX,8.02,46.25,27.58,2.13,0.66,8.50,-,20.40%,12.80%,-18.20%,1.34%,14.25,3.83B,101.17%,33.16%,13.20%,0.00%,31.91B
ORGS,1.16,-,-,-,0.71,-0.59,-,-51.40%,-19.40%,2.10%,11.98%,-,-15.10M,-51.20%,-37.44%,-42.00%,-,35.90M
OXLCO,,,,,,,,,,,,,,,,,,
VNOM,2.84,11.46,13.03,1.45,1.04,2.27,3.84%,-,56.30%,117.30%,0.20%,2.00,169.00M,-19.51%,-17.39%,-,121.48%,833.50M
POCI,3.92,172.82,-,-,0.23,0.04,-,-1.30%,-6.70%,-247.30%,34.40%,-,0.20M,-0.33%,7.99%,-0.60%,-,20.80M
VCLT,-,-,-,-,-,-,4.54%,-,-,-,-,-,-,-10.76%,1.74%,-,-,-
RNLX,8.96,-,-,-,1.35,-1.14,-,-192.60%,-123.70%,34.20%,9.10%,-0.57,-42.20M,-48.69%,14.97%,-,-,3.80M
EWTX,1.88,-,-,-,0.00,-1.33,-,-23.60%,-,-22.00%,9.60%,-2.02,-75.80M,61.78%,9.84%,-,-,-
DIOD,2.62,12.83,13.31,0.86,0.08,7.15,-,22.50%,20.70%,-2.80%,0.50%,6.89,329.70M,16.91%,18.83%,16.60%,0.00%,1.99B
ACOR,0.19,-,-,-,2.23,-3.26,-,-69.70%,-14.90%,62.60%,0.10%,-,-58.20M,50.00%,-17.83%,-49.20%,-,118.30M
AMLX,4.54,-,8.28,-,0.00,-2.48,-,-57.80%,-59.30%,102.40%,23.46%,2.90,-149.00M,174.83%,-34.70%,-,-,93.70M
BLFY,0.61,414.35,-,-,0.02,0.02,-,0.20%,12.60%,-327.00%,1.50%,-0.43,0.60M,-21.51%,-27.00%,0.90%,0.00%,67.70M
QDROU,,,,,,,,,,,,,,,,,,
VSTM,6.50,-,-,-,1.24,-0.37,-,-147.20%,-101.00%,14.00%,1.10%,-0.32,-72.60M,-22.85%,143.43%,-,-,0.00M
SSBK,,,,,,,,,,,,,,,,,,
NVAX,-,-,-,-,-,-14.38,-,183.90%,769.90%,-230.30%,0.30%,-1.49,-1155.30M,-83.13%,-22.76%,-85.00%,-,1.36B
TCJH,0.36,-,-,-,0.00,-0.18,-,-,-44.40%,-,29.88%,-,-0.80M,-,104.29%,-24.70%,-,3.10M
AKYA,5.24,-,-,-,1.53,-1.92,-,-109.60%,-53.80%,-12.10%,1.80%,-1.34,-73.00M,-51.77%,-42.95%,-92.00%,-,79.40M
ATVI,3.12,34.05,18.67,2.84,0.18,2.35,0.59%,9.70%,6.30%,85.90%,0.10%,4.29,1.86B,2.27%,4.47%,22.80%,19.80%,8.14B
NAMS,,,,,,,,,,,,,,,,,,
CRDO,5.68,-,456.00,-,0.00,-0.04,-,-1.70%,-6.60%,-,10.60%,0.03,-6.00M,27.16%,0.41%,-3.10%,-,189.60M
RNRG,-,-,-,-,-,-,1.27%,-,-,-,-,-,-,-23.50%,-11.66%,-,-,-
MRKR,0.73,-,-,-,0.00,-2.96,-,-116.00%,-154.00%,52.20%,12.82%,-,-25.00M,-45.67%,-38.70%,-,-,12.80M
DPCS,,,,,,,,,,,,,,,,,,
SPCM,,,,,,,,,,,,,,,,,,
HTLF,0.71,5.72,5.91,0.57,0.22,5.01,4.19%,13.10%,26.40%,23.00%,0.80%,4.85,213.80M,-37.11%,-40.71%,28.50%,22.30%,750.40M
WHF,0.80,15.33,6.76,2.95,-,0.75,12.87%,-,-,-,3.92%,1.70,-,-17.47%,-11.00%,-,217.75%,-
RAVE,2.57,3.97,-,0.40,0.00,0.44,-,69.40%,54.60%,-14.60%,1.40%,-,7.80M,90.87%,7.59%,66.60%,0.00%,11.70M
QQMG,,,,,,,,,,,,,,,,,,
CDNS,21.52,75.17,41.06,4.29,0.23,3.12,-,31.10%,25.10%,4.20%,0.60%,5.72,855.40M,47.12%,43.09%,23.20%,0.00%,3.68B
MNSB,0.89,5.80,7.80,-,0.41,3.64,1.89%,16.20%,25.00%,58.60%,3.60%,2.71,27.20M,-14.57%,-22.59%,28.60%,8.20%,95.10M
NMRD,-,-,-,-,-,-0.54,-,243.20%,-36.70%,51.60%,49.07%,-0.53,-13.10M,-81.58%,-70.23%,-,-,0.40M
CNXA,0.02,-,-,-,-,-11.82,-,-,-,-,35.10%,-,-,-98.11%,-19.15%,-,-,16.83M
RDI,1.02,-,-,-,3.40,-1.64,-,-47.40%,-10.60%,-,0.80%,-0.01,-36.20M,-23.08%,4.69%,-17.80%,-,203.10M
HWELU,,,,,,,,,,,,,,,,,,
MDRX,1.12,12.72,13.60,1.59,0.17,0.94,-,4.70%,3.30%,-39.40%,1.20%,0.88,119.90M,-29.94%,-32.88%,7.20%,0.00%,837.20M
USIO,2.87,-,8.55,-,0.01,-0.19,-,-26.50%,-39.20%,100.70%,26.40%,0.24,-3.80M,-17.78%,26.07%,-5.30%,-,72.80M
PESI,4.08,-,24.30,-,0.04,-0.17,-,-7.60%,-12.90%,74.80%,6.80%,0.47,-2.30M,100.53%,220.96%,-3.90%,-,74.80M
ASCAU,,,,,,,,,,,,,,,,,,
MIGI,0.51,-,-,-,0.34,-3.82,-,-,-46.60%,16.80%,17.94%,-0.96,-52.50M,-80.42%,80.43%,-,-,72.60M
PROC,-,10.19,9.98,-,-,0.42,-,-294.00%,10.50%,111.50%,84.68%,0.43,42.50M,-43.95%,-20.03%,10.40%,0.00%,409.90M
FCEF,-,-,-,-,-,-,7.54%,-,-,-,-,-,-,-13.93%,-3.68%,-,-,-
GATEU,,,,,,,,,,,,,,,,,,
ALHC,4.70,-,-,-,0.72,-0.80,-,-56.90%,-32.90%,10.80%,4.10%,-0.67,-146.00M,-49.64%,-52.76%,-9.60%,-,1.53B
IBTH,,,,,,,,,,,,,,,,,,
ICLK,0.42,-,-,-,0.59,-69.08,-,-103.30%,-162.60%,-,2.85%,-3.23,-200.90M,-60.15%,-30.65%,-,-,169.10M
BJK,-,-,-,-,-,-,0.39%,-,-,-,-,-,-,14.44%,8.58%,-,-,-
ELBM,0.35,-,-,-,0.69,-1.02,-,-10.00%,-,-916.50%,1.20%,-,-11.60M,-73.63%,-36.45%,-,-,-
BHFAM,0.17,1.15,-,-,-,12.61,7.94%,-,-,-,-,-,-,-24.78%,-4.64%,-,-,7.74B
BIMI,0.82,-,-,-,0.26,-55.36,-,-,-,-,35.70%,-,-40.30M,-76.99%,-22.35%,-,-,19.10M
MRM,-,-,-,-,-,-0.97,-,-,-,-,40.37%,-,-,-22.52%,29.71%,-,-,6.43B
CAMP,4.59,-,4.52,-,15.95,-0.90,-,-155.80%,-11.20%,14.10%,5.10%,0.40,-32.50M,-75.49%,-60.71%,-11.00%,-,294.90M
RING,-,-,-,-,-,-,2.19%,-,-,-,-,-,-,-8.94%,6.76%,-,-,-
BEAM,3.03,-,-,-,0.00,-4.46,-,-42.00%,-46.40%,-32.50%,1.50%,-5.93,-316.30M,-13.25%,-19.99%,-,-,76.70M
SBUX,-,31.69,23.74,1.94,-,3.08,2.17%,-41.10%,57.90%,34.80%,0.10%,4.12,3.55B,26.52%,-2.16%,10.50%,65.90%,34.00B
CYCN,48.22,-,-,-,0.00,-16.28,-,-270.50%,-422.60%,46.50%,-,-,-38.10M,-62.03%,-65.57%,-,-,0.90M
SNBR,-,9.40,9.02,1.38,-,2.02,-,-10.60%,259.80%,477.50%,0.90%,2.11,46.00M,-61.42%,-28.16%,2.20%,0.00%,2.11B
DGHI,0.81,-,-,-,0.07,-0.85,-,-,-55.10%,-169.30%,15.64%,-,-22.90M,-21.98%,294.44%,-,-,28.60M
