,P/B,P/E,Forward P/E,PEG,Debt/Eq,EPS (ttm),Dividend %,ROE,ROI,EPS Q/Q,Insider Own,EPS next Y,Income,Perf Year,Perf YTD,Profit Margin,Payout,Sales
VAQC,7.00,35.49,-,-,0.03,0.28,-,2.70%,-,-,0.46%,-,8.90M,5.04%,1.09%,-,0.00%,-
PDEX,2.62,14.99,13.14,-,0.48,1.27,-,19.00%,11.50%,194.10%,3.10%,1.45,4.70M,21.19%,19.43%,9.70%,0.00%,48.10M
FTC,-,-,-,-,-,-,1.06%,-,-,-,-,-,-,-5.61%,0.83%,-,-,-
MBTC,,,,,,,,,,,,,,,,,,
EDSA,2.00,-,-,-,0.00,-0.79,-,-131.10%,-,64.50%,4.00%,-1.82,-13.30M,-54.57%,-58.77%,-,-,-
VSAT,0.92,-,-,-,0.64,-2.91,-,37.20%,-3.30%,-12.00%,0.40%,-0.03,-221.70M,6.05%,39.95%,42.60%,0.00%,2.55B
CLRB,2.84,-,-,-,0.00,-3.99,-,-247.10%,-,24.20%,5.17%,-2.19,-31.00M,-65.90%,-12.27%,-,-,-
CBNK,1.02,5.86,7.05,-,0.05,2.88,1.42%,18.80%,51.50%,-4.20%,2.70%,2.39,41.30M,-27.74%,-28.91%,25.90%,8.20%,159.70M
PALT,1.27,-,16.45,-,0.00,-0.36,-,-15.80%,-16.60%,-6.50%,6.70%,0.17,-3.40M,38.54%,115.15%,-32.10%,-,10.60M
AGNCM,,,,,,,,,,,,,,,,,,
JG,1.99,-,29.85,-,0.04,-0.13,-,-65.70%,-105.30%,7.20%,0.56%,0.01,-15.10M,-73.58%,-56.26%,-32.50%,-,46.50M
SCPL,3.74,19.88,16.41,1.16,0.00,0.98,-,21.60%,135.30%,34.80%,1.00%,1.19,23.50M,44.00%,20.81%,3.40%,0.00%,699.40M
INTZ,-,-,-,-,-,-0.83,-,438.00%,-240.90%,-5.90%,5.20%,-0.30,-16.90M,-47.80%,-46.65%,-,-,7.00M
EXPO,13.77,46.96,39.95,3.13,0.00,1.96,1.13%,30.90%,34.60%,0.90%,0.10%,2.31,101.80M,-0.07%,-8.35%,19.40%,49.50%,525.10M
CSSE,0.71,-,-,-,12.74,-7.96,-,-210.70%,-14.20%,-199.20%,3.10%,-5.80,-155.70M,-81.01%,-75.00%,-46.70%,-,333.20M
DMRC,7.09,-,-,-,0.00,-2.83,-,-56.00%,-63.50%,31.80%,1.00%,-1.26,-56.10M,78.03%,61.95%,-,-,30.60M
MTEK,0.73,-,-,-,0.11,-0.50,-,-89.10%,-34.40%,-169.80%,40.91%,-,-3.70M,-19.72%,5.42%,-,-,2.50M
SKGR,1.33,50.87,-,-,0.03,0.21,-,2.00%,-,-,-,-,4.20M,-,3.44%,-,0.00%,-
KOD,0.76,-,-,-,0.00,-5.91,-,-67.20%,-,26.30%,0.40%,-3.78,-308.90M,-14.52%,-17.39%,-,-,-
UFPI,1.82,8.14,9.22,0.48,0.10,9.97,1.23%,-,25.30%,-34.40%,2.00%,8.80,602.70M,-0.66%,-1.10%,-,8.85%,8.96B
AXGN,3.80,-,-,-,0.47,-0.58,-,-24.40%,-20.30%,39.50%,3.80%,-0.13,-24.50M,-13.17%,-15.43%,-17.00%,-,144.20M
RMTI,3.97,-,-,-,0.74,-1.26,-,-84.30%,-,99.00%,5.58%,-0.40,-13.30M,98.80%,172.25%,-17.40%,-,76.40M
RAIL,-,-,16.29,-,-,-0.76,-,80.10%,-9.50%,87.90%,1.20%,0.17,-18.00M,-37.53%,-10.00%,-5.10%,-,352.50M
PTON,-,-,-,-,-,-6.69,-,-,-127.80%,65.30%,2.28%,-1.15,-2275.10M,-51.86%,-12.03%,-80.20%,-,2.84B
ESPO,-,-,-,-,-,-,0.74%,-,-,-,-,-,-,0.04%,22.31%,-,-,-
JZXN,4.04,-,-,-,0.50,-0.11,-,-125.50%,-201.90%,-545.20%,33.10%,-,-2.40M,-84.56%,38.59%,-,-,0.90M
CRESY,0.55,16.10,-,0.64,1.40,0.39,2.40%,20.40%,11.60%,-48.90%,38.20%,-,161.10M,-6.15%,1.14%,18.10%,0.00%,633.20M
PETS,2.40,1217.50,21.17,-,0.00,0.01,8.21%,0.20%,-2.20%,-184.10%,0.80%,0.69,0.20M,-33.18%,-17.63%,0.10%,10833.05%,256.90M
FTII,,,,,,,,,,,,,,,,,,
CJJD,0.14,-,-,-,1.21,-0.97,-,-14.30%,-6.30%,92.80%,7.05%,-,-3.50M,-60.22%,-79.30%,-2.20%,-,158.60M
LFLY,-,0.79,-,-,-,0.40,-,-409.30%,-,73.00%,24.00%,-0.22,19.00M,-96.74%,-52.45%,40.40%,0.00%,47.20M
ERYP,1.06,-,-,-,0.58,-0.01,-,-,-8.90%,102.40%,-,-,-0.20M,-16.82%,184.73%,-,-,7.10M
METX,0.15,2.91,-,-,0.04,0.07,-,92.60%,5.20%,101.30%,16.51%,-,0.90M,-86.94%,9.46%,65.00%,0.00%,11.50M
ASO,2.33,6.53,5.78,0.59,0.36,7.48,0.74%,40.30%,29.50%,24.60%,1.30%,8.46,628.00M,38.19%,-9.50%,9.80%,3.90%,6.40B
MOMO,1.01,8.10,5.53,5.51,0.25,1.00,-,14.10%,7.90%,109.10%,5.67%,1.47,209.70M,55.50%,-4.41%,11.70%,0.00%,1.79B
DSEY,4.29,-,18.87,-,3.15,-0.57,-,-27.20%,-3.60%,-35.60%,3.02%,0.44,-183.80M,-16.85%,95.77%,-6.60%,-,2.80B
GTH,0.64,-,-,-,0.18,-1.07,-,-62.10%,-40.50%,-154.10%,6.94%,-,-99.10M,-42.07%,-25.00%,-,-,77.30M
SPWH,0.70,5.40,5.78,0.26,0.37,1.02,-,13.80%,11.10%,-77.70%,2.00%,0.95,40.50M,-53.86%,-52.98%,2.90%,0.00%,1.40B
ALLT,1.01,-,-,-,0.39,-0.86,-,-29.00%,-24.10%,-61.20%,16.30%,-0.13,-32.00M,-50.00%,-22.09%,-26.10%,-,122.70M
PCAR,4.02,14.36,11.09,-,0.86,4.96,1.41%,24.00%,12.40%,-18.70%,1.40%,6.42,3.15B,24.50%,4.83%,10.20%,56.80%,30.82B
AMBA,5.26,-,159.46,-,0.00,-1.70,-,-11.10%,-11.30%,-15.30%,5.30%,0.51,-65.40M,-22.67%,-17.15%,-19.40%,-,337.60M
DYN,2.94,-,-,-,0.00,-3.33,-,-68.50%,-,-13.80%,1.50%,-2.75,-176.70M,162.30%,11.35%,-,-,-
MBLY,2.51,-,55.63,-,0.00,-0.13,-,-0.80%,-0.60%,-30.60%,1.50%,0.83,-101.00M,-,25.70%,-5.20%,-,1.93B
CTRN,0.74,5.59,84.22,0.22,0.00,2.71,-,41.40%,35.00%,-29.50%,1.30%,0.18,22.10M,-50.40%,-44.26%,8.10%,0.00%,766.50M
FBIO,1.45,-,-,-,2.54,-1.00,-,-169.10%,-143.70%,-15.70%,22.80%,-0.20,-92.40M,-41.91%,-20.15%,-,-,64.20M
SONN,1.50,-,-,-,0.00,-4.63,-,-,-,82.00%,0.80%,-0.56,-26.50M,-86.67%,-56.96%,-,-,0.20M
NEO,2.18,-,-,-,0.55,-1.01,-,-12.50%,-9.30%,38.40%,0.80%,-0.24,-125.60M,88.53%,81.39%,-23.70%,-,529.80M
AVNW,1.63,28.84,8.34,2.40,0.03,1.06,-,6.20%,9.60%,-19.70%,3.90%,3.68,12.70M,2.11%,-2.08%,3.80%,0.00%,332.80M
PTEC,,,,,,,,,,,,,,,,,,
PRTK,-,-,-,-,-,-1.19,-,39.00%,-53.90%,-3.10%,7.10%,-0.08,-65.80M,-19.25%,-19.25%,-39.50%,-,166.60M
OCG,0.29,4.41,-,-,0.00,0.15,-,6.70%,5.20%,-236.80%,28.86%,-,3.20M,-81.48%,28.55%,18.20%,0.00%,17.80M
EQ,0.76,-,-,-,0.26,-0.84,-,-89.30%,-152.10%,90.20%,0.10%,-0.70,-29.00M,-75.30%,-41.98%,-,-,24.60M
CVGI,2.48,-,9.02,-,1.24,-0.56,-,-13.20%,-0.20%,115.20%,0.10%,1.12,-16.00M,43.15%,41.26%,-1.70%,-,999.90M
DRTT,5.03,-,-,-,-,-0.46,-,-,-,-,19.73%,-0.11,-,-66.82%,-33.02%,-,-,170.58M
PET,10.90,-,-,-,3.55,-1.42,-,-,-86.00%,73.40%,12.90%,-0.11,-40.00M,-77.60%,-27.92%,-,-,65.80M
RILY,2.74,-,-,-,14.31,-5.11,10.93%,-30.80%,-1.30%,218.50%,23.10%,-,-140.60M,-35.49%,3.71%,-13.00%,-,1.08B
MNMD,1.08,-,-,-,-,-1.79,-,-,-,-,14.72%,-1.84,-,-73.39%,58.62%,-,-,-
FTGC,-,-,-,-,-,-,12.26%,-,-,-,-,-,-,-25.78%,-10.41%,-,-,-
UTMD,2.86,19.72,-,-,0.00,4.72,1.27%,15.30%,13.70%,20.20%,6.47%,-,17.20M,5.60%,-10.82%,32.70%,24.90%,52.50M
AACI,3.16,-,-,-,0.07,-0.03,-,-0.50%,-,83.60%,26.79%,-,-0.60M,-,0.99%,-,-,-
CGRN,18.67,-,-,-,50.36,-1.17,-,-474.50%,-28.00%,15.90%,2.60%,-0.56,-19.20M,-59.44%,-20.84%,-25.60%,-,74.80M
ACWI,-,-,-,-,-,-,1.73%,-,-,-,-,-,-,-1.45%,7.46%,-,-,-
PSL,-,-,-,-,-,-,2.01%,-,-,-,-,-,-,1.12%,1.92%,-,-,-
TITN,1.07,5.20,5.36,0.21,0.67,4.92,-,20.30%,11.70%,-19.70%,10.51%,4.77,110.20M,-6.81%,-35.64%,4.30%,0.00%,2.32B
AOTG,,,,,,,,,,,,,,,,,,
BPMC,8.19,-,-,-,0.34,-9.71,-,-100.30%,-83.00%,-20.60%,1.00%,-7.79,-581.10M,-0.75%,27.52%,-,-,204.60M
CGO,0.95,-,-,-,-,-5.08,10.51%,-,-,-,12.66%,-,-,-26.69%,2.04%,-,-,2.28M
FAB,-,-,-,-,-,-,1.96%,-,-,-,-,-,-,-12.05%,-5.29%,-,-,-
OSBC,1.09,6.97,6.45,1.00,0.26,1.75,1.64%,17.20%,29.30%,95.70%,1.90%,1.89,79.00M,-21.88%,-27.00%,32.50%,11.30%,243.30M
BDRX,0.03,-,-,-,0.21,-9.54,-,-123.20%,-212.30%,43.30%,-,-,-9.40M,-99.32%,-97.91%,-,-,0.90M
POET,11.61,-,-,-,0.02,-0.56,-,-152.70%,-,8.00%,0.97%,-0.45,-20.90M,-24.08%,41.90%,-,-,0.70M
AMPG,0.82,-,241.00,-,0.01,-0.13,-,-4.40%,0.50%,-,2.20%,0.01,-1.30M,7.67%,12.75%,-6.90%,-,18.40M
IBEX,3.06,16.80,8.90,-,0.69,1.21,-,21.00%,15.50%,74.00%,48.60%,2.29,22.80M,14.13%,-17.42%,4.40%,0.00%,522.60M
HPLT,25.78,322.19,-,-,0.00,0.03,-,0.60%,-,-264.40%,58.51%,-,0.90M,-,2.79%,-,0.00%,-
SP,3.21,17.80,10.85,1.78,1.67,2.06,-,18.20%,11.50%,-15.70%,1.30%,3.38,42.90M,13.81%,4.90%,2.60%,0.00%,1.63B
THRY,2.02,30.09,16.51,-,1.15,0.77,-,7.50%,6.40%,-71.50%,1.20%,1.39,30.20M,-13.50%,21.05%,2.60%,0.00%,1.14B
YS,0.20,2.19,-,-,0.00,0.69,-,9.40%,-,451.30%,-,-,17.70M,-85.39%,-85.83%,-,0.00%,-
MASS,1.56,-,-,-,0.00,-1.16,-,-19.10%,-17.20%,-30.00%,5.90%,-1.18,-36.70M,-44.12%,12.64%,-76.40%,-,48.00M
IEF,-,-,-,-,-,-,2.32%,-,-,-,-,-,-,-6.24%,2.21%,-,-,-
LNKB,0.55,17.92,5.95,-,0.51,0.28,6.00%,1.90%,15.20%,-166.20%,7.90%,0.84,2.50M,-57.25%,-46.74%,5.60%,80.30%,44.90M
FOLD,31.97,-,78.80,-,3.83,-0.70,-,-153.70%,-40.10%,38.50%,0.80%,0.14,-204.20M,41.82%,-7.66%,-60.60%,-,336.80M
SOXX,-,-,-,-,-,-,1.11%,-,-,-,-,-,-,11.52%,37.28%,-,-,-
GEHC,5.30,19.99,18.12,-,1.53,3.90,0.15%,-,11.10%,-34.00%,0.05%,4.30,-,-,34.00%,-,0.00%,18.71B
MCFT,2.66,6.06,6.31,0.61,0.31,4.41,-,37.00%,29.80%,-2.40%,2.50%,4.23,78.90M,11.74%,0.43%,8.10%,0.00%,713.10M
ARTE,1.31,34.25,-,-,0.00,0.31,-,3.70%,-,335.40%,-,-,7.30M,-,2.64%,-,0.00%,-
SUSB,-,-,-,-,-,-,2.12%,-,-,-,-,-,-,-2.08%,0.97%,-,-,-
ISPR,4.62,-,-,-,0.00,-0.15,-,-,-17.50%,-343.00%,73.91%,-,-8.20M,-,0.66%,-7.80%,-,104.80M
INFR,,,,,,,,,,,,,,,,,,
AGLE,0.36,-,-,-,0.00,-0.86,-,-132.10%,-168.30%,47.20%,0.20%,-0.08,-77.80M,-91.48%,-70.26%,-,-,1.20M
ONCT,0.33,-,-,-,0.00,-0.84,-,-71.50%,-73.70%,2.00%,1.90%,-0.38,-45.80M,-80.77%,-70.38%,-,-,0.90M
CZWI,0.54,5.40,7.56,-,0.43,1.59,3.37%,11.60%,20.50%,-22.10%,2.80%,1.14,16.70M,-32.04%,-27.97%,25.90%,12.60%,73.70M
ACST,0.26,-,-,-,0.00,-0.41,-,-16.80%,-,-2.20%,-,-0.30,-17.20M,-42.02%,9.54%,-,-,-
ARAY,6.33,-,37.60,-,3.26,-0.11,-,-19.70%,2.10%,154.50%,4.70%,0.10,-10.20M,68.29%,73.92%,-2.30%,-,439.30M
BWAC,2.83,27.66,-,-,0.03,0.39,-,2.20%,-,-183.70%,48.63%,-,3.30M,5.77%,3.95%,-,0.00%,-
LASE,1.36,-,-,-,0.00,-0.13,-,-11.00%,-5.60%,-,62.00%,-,-1.00M,-,49.51%,-20.10%,-,5.00M
HAYN,1.36,10.64,9.38,0.53,0.00,4.13,2.00%,13.70%,9.40%,42.00%,2.40%,4.69,52.00M,10.23%,-5.89%,9.30%,15.70%,559.40M
CHK,0.99,1.59,11.44,-,0.20,47.60,10.53%,89.00%,41.40%,251.80%,0.10%,6.60,7.02B,-23.19%,-19.70%,50.80%,15.60%,13.82B
NYMTN,,,,,,,,,,,,,,,,,,
FPXI,-,-,-,-,-,-,1.14%,-,-,-,-,-,-,-16.00%,-2.27%,-,-,-
ANIX,3.51,-,1.52,-,0.00,-0.40,-,-40.10%,-,40.90%,4.10%,2.08,-12.10M,-6.02%,-26.59%,-,-,-
SNFCA,0.55,7.27,-,-,0.47,1.07,-,8.30%,9.50%,-60.40%,0.30%,-,23.70M,-10.16%,8.77%,6.20%,0.00%,382.50M
GILD,4.54,17.25,10.63,7.67,1.20,4.42,3.93%,26.70%,13.10%,5215.80%,0.10%,7.18,5.58B,18.40%,-10.63%,20.60%,66.00%,27.04B
FXNC,,,,,,,,,,,,,,,,,,
CLAY,,,,,,,,,,,,,,,,,,
OCFC,0.53,5.95,6.14,0.60,0.12,2.46,5.46%,9.30%,18.20%,8.60%,0.10%,2.39,144.70M,-29.19%,-33.79%,30.20%,31.20%,479.20M
CRVL,17.03,51.00,-,-,0.00,3.77,-,32.00%,31.30%,26.60%,42.80%,-,66.40M,26.81%,32.74%,9.00%,0.00%,718.60M
ROCK,2.04,19.96,12.89,1.00,0.06,2.76,-,10.60%,11.10%,45.30%,0.70%,4.28,88.00M,24.81%,15.13%,6.40%,0.00%,1.37B
VII,3.02,32.07,-,-,0.03,0.33,-,1.50%,-,-132.10%,-,-,9.40M,6.95%,3.46%,-,0.00%,-
NPCE,4.01,-,-,-,1.96,-1.86,-,-116.00%,-46.50%,12.30%,18.30%,-1.63,-46.00M,-27.29%,204.03%,-94.60%,-,48.60M
ACHV,312.00,-,-,-,41.00,-3.76,-,-762.70%,-,37.30%,0.30%,-1.74,-43.80M,-12.73%,148.98%,-,-,-
SOBR,3.54,-,-,-,0.38,-1.46,-,-228.70%,-,76.60%,2.30%,-0.62,-17.90M,51.84%,72.64%,-,-,0.08M
SIDU,1.23,-,-,-,-,-0.74,-,-,-219.00%,-,3.48%,-0.13,-12.80M,-87.79%,-82.30%,-,-,7.30M
EMCB,-,-,-,-,-,-,4.18%,-,-,-,-,-,-,-2.09%,-0.03%,-,-,-
BVXV,-,-,-,-,-,-7.29,-,-239.70%,-,85.40%,0.04%,-4.10,-15.10M,-86.38%,-40.20%,-,-,-
NVOS,0.16,-,-,-,0.48,-1.13,-,-84.80%,-75.80%,-,12.92%,-,-32.80M,-94.04%,-39.28%,-,-,11.70M
FTAG,-,-,-,-,-,-,1.89%,-,-,-,-,-,-,-19.62%,-8.70%,-,-,-
DWMC,,,,,,,,,,,,,,,,,,
FAST,9.58,28.34,25.64,4.48,0.12,1.94,2.55%,34.80%,29.60%,10.40%,0.10%,2.14,1.11B,-0.89%,13.36%,15.60%,65.90%,7.14B
NKLA,0.62,-,-,-,0.58,-1.71,-,-143.20%,-85.00%,16.50%,0.90%,-0.51,-800.40M,-91.51%,-71.74%,-,-,60.10M
MTRY,2.64,-,-,-,0.04,-0.13,-,-1.90%,-,-57.20%,50.68%,-,-1.30M,-,3.14%,-,-,-
FEP,-,-,-,-,-,-,2.87%,-,-,-,-,-,-,-10.11%,2.80%,-,-,-
NZUS,,,,,,,,,,,,,,,,,,
AWH,32.90,-,-,-,4.00,-2.56,-,-291.80%,-321.20%,41.10%,0.50%,-1.27,-24.00M,-61.79%,-36.66%,-,-,8.60M
SAFT,1.34,41.22,13.99,2.75,0.06,1.78,4.90%,3.30%,4.10%,-258.60%,0.30%,5.25,26.20M,-21.71%,-12.34%,3.30%,200.00%,805.40M
FMBH,0.76,6.70,6.89,0.74,0.17,3.68,3.74%,12.00%,21.60%,8.70%,1.10%,3.58,75.50M,-35.32%,-25.09%,32.50%,24.70%,232.40M
TTEC,2.47,16.63,10.84,-,0.00,1.87,3.35%,16.10%,9.30%,-44.20%,0.60%,2.87,88.50M,-54.43%,-29.36%,3.60%,54.40%,2.49B
TXRH,6.85,25.87,19.87,1.43,0.00,4.17,2.04%,28.20%,26.00%,18.40%,0.30%,5.43,281.00M,33.17%,17.61%,6.70%,46.10%,4.20B
BSMP,-,-,-,-,-,-,1.81%,-,-,-,-,-,-,-1.41%,-0.08%,-,-,-
TARA,0.34,-,-,-,0.00,-5.70,-,-53.40%,-,16.30%,10.20%,-3.00,-64.20M,-21.20%,2.61%,-,-,-
VBFC,0.99,7.81,-,-,0.23,5.44,1.51%,13.20%,31.80%,-16.00%,4.20%,-,8.00M,-8.24%,-18.37%,27.90%,11.00%,28.80M
RDWR,2.61,-,23.41,-,0.00,-0.16,-,-0.50%,-2.50%,23.90%,28.50%,0.83,-7.00M,-21.83%,-1.29%,-0.60%,-,288.80M
LIXT,22.67,-,-,-,0.00,-0.36,-,-263.30%,-,31.90%,1.10%,-,-6.00M,-14.56%,27.70%,-,-,-
FULT,0.78,6.78,6.99,0.85,0.22,1.68,5.27%,12.00%,23.70%,2.40%,0.30%,1.63,280.80M,-29.90%,-34.28%,28.60%,35.40%,981.70M
WTBA,1.30,6.94,11.32,-,0.60,2.45,5.89%,19.50%,15.00%,-40.40%,0.60%,1.50,41.10M,-33.61%,-34.36%,30.80%,40.50%,133.40M
BSCP,-,-,-,-,-,-,2.79%,-,-,-,-,-,-,-2.84%,0.34%,-,-,-
IONS,11.89,-,-,-,2.45,-2.31,-,-57.70%,-24.00%,-89.30%,0.40%,-3.40,-328.90M,7.31%,6.91%,-57.10%,-,576.00M
TURN,0.74,-,-,-,0.00,-4.34,-,-48.20%,-,-270.70%,8.90%,-,-45.00M,-24.14%,-11.93%,-,-,0.08M
RZLT,0.84,-,-,-,0.00,-1.06,-,-34.00%,-,53.20%,16.65%,-1.44,-48.50M,-32.52%,0.72%,-,-,-
OXLC,1.03,-,-,-,-,-1.14,17.79%,-,-,-,0.64%,-,-,-24.37%,-0.20%,-,-,240.58M
TMDX,12.12,-,669.72,-,0.31,-0.95,-,-18.30%,-12.60%,78.40%,1.50%,0.11,-28.30M,144.73%,18.52%,-23.80%,-,119.10M
WSBC,0.62,8.10,8.74,0.81,0.12,3.02,5.72%,7.80%,16.80%,-0.70%,0.40%,2.80,180.20M,-30.17%,-35.78%,32.10%,56.80%,562.00M
FTHM,1.63,-,-,-,0.08,-1.72,-,-41.60%,-40.40%,3.10%,33.00%,-0.65,-27.30M,-36.29%,38.35%,-6.80%,-,400.40M
SYPR,2.04,-,-,-,0.57,-0.13,-,-15.00%,-1.90%,-176.80%,15.30%,-,-2.90M,-10.09%,-4.31%,-2.50%,-,116.20M
LITP,,,,,,,,,,,,,,,,,,
WBA,1.22,-,6.26,-,0.66,-3.64,6.41%,-13.50%,4.60%,-20.20%,0.30%,4.78,-3144.00M,-31.55%,-19.91%,-2.40%,38.21%,133.29B
CCBG,1.22,10.97,8.34,1.83,0.13,2.74,2.39%,11.80%,25.10%,75.80%,1.40%,3.61,46.60M,11.34%,-7.57%,31.10%,24.70%,149.80M
STRS,0.88,-,-,-,0.64,-1.72,-,37.00%,-2.50%,-410.70%,1.40%,-,-14.10M,-40.43%,11.20%,-,0.00%,40.20M
WULF,1.52,-,-,-,1.14,-0.33,-,-,-,28.80%,11.60%,-0.05,-105.30M,-55.91%,118.60%,-,-,26.35M
AEAE,,,,,,,,,,,,,,,,,,
KACLU,,,,,,,,,,,,,,,,,,
LVOXU,,,,,,,,,,,,,,,,,,
SAMG,2.18,10.09,10.58,0.85,0.06,1.91,3.74%,16.70%,33.90%,-57.70%,11.17%,1.82,18.80M,-5.42%,2.24%,11.70%,36.38%,123.20M
NMIH,1.25,7.30,6.55,0.50,0.23,3.51,-,18.80%,16.10%,13.20%,0.30%,3.91,299.70M,35.98%,19.71%,56.30%,0.00%,532.70M
WVE,-,-,-,-,-,-1.77,-,-,362.30%,57.00%,25.16%,-1.32,-151.40M,164.53%,-44.07%,-,-,14.80M
VTWG,-,-,-,-,-,-,0.87%,-,-,-,-,-,-,-0.48%,3.94%,-,-,-
NNDM,0.52,-,-,-,0.01,-0.88,-,-18.20%,-14.70%,43.30%,0.88%,-,-227.40M,-20.17%,0.65%,-,-,43.60M
KYCHU,,,,,,,,,,,,,,,,,,
NPAB,,,,,,,,,,,,,,,,,,
PID,-,-,-,-,-,-,3.50%,-,-,-,-,-,-,-8.33%,3.95%,-,-,-
ASRT,1.32,4.35,10.54,0.17,0.15,1.49,-,52.50%,40.30%,-134.80%,0.20%,0.61,97.10M,102.70%,46.60%,59.90%,0.00%,162.20M
LIVE,0.76,12.64,4.18,-,1.58,1.99,-,6.30%,14.90%,-89.90%,7.10%,6.01,6.20M,-25.18%,-20.16%,2.10%,0.00%,302.20M
DALN,2.30,-,-,-,0.00,-1.82,16.80%,-47.60%,-77.00%,0.70%,4.98%,-,-9.80M,-29.23%,0.42%,-6.50%,-,149.60M
GSD,,,,,,,,,,,,,,,,,,
USLM,3.13,19.64,-,-,0.00,9.47,0.43%,17.00%,13.60%,96.60%,1.00%,-,53.90M,53.68%,28.59%,21.40%,6.30%,252.00M
CABA,3.80,-,-,-,0.00,-1.80,-,-59.20%,-,0.00%,4.10%,-1.61,-55.90M,632.33%,5.30%,-,-,-
PEPLU,,,,,,,,,,,,,,,,,,
CNTA,1.48,-,-,-,0.24,-2.25,-,-59.70%,-,11.30%,3.70%,-1.92,-212.40M,8.73%,46.61%,-,-,-
EVBG,3.22,-,12.94,-,0.00,-1.43,-,-20.80%,-7.90%,24.80%,0.30%,1.81,-56.70M,-45.64%,-21.16%,-12.90%,-,439.80M
ARTW,1.07,13.75,-,-,0.58,0.18,-,-,1.70%,175.40%,5.30%,-,0.80M,4.26%,26.94%,-,0.00%,30.70M
THRN,1.61,22.84,7.35,-,0.22,0.19,-,7.50%,7.80%,-108.00%,6.40%,0.60,10.30M,-28.66%,22.04%,4.30%,0.00%,239.30M
PULM,0.36,-,-,-,0.00,-5.19,-,-55.70%,-,19.20%,-,-5.11,-18.30M,-47.10%,-29.38%,-,-,6.40M
IGTA,,,,,,,,,,,,,,,,,,
CVCO,2.33,9.71,8.86,0.32,0.01,26.93,-,25.90%,23.40%,-7.20%,0.60%,29.52,240.60M,15.05%,11.47%,11.20%,0.00%,2.14B
ENER,1.31,230.00,-,-,0.00,0.04,-,1.50%,-,353.90%,0.30%,-,1.00M,6.04%,2.68%,-,0.00%,-
OPTN,-,-,-,-,-,-0.74,-,103.30%,-77.60%,45.10%,1.80%,-0.24,-68.30M,-42.55%,-35.41%,-93.20%,-,73.40M
DEMZ,-,-,-,-,-,-,0.90%,-,-,-,-,-,-,1.11%,6.71%,-,-,-
HARP,34.44,-,-,-,7.43,-1.73,-,-473.10%,-,50.40%,1.04%,-0.21,-58.70M,-66.35%,-3.54%,-,-,34.60M
ETEC,,,,,,,,,,,,,,,,,,
VIRX,1.15,-,-,-,0.54,-1.34,-,-86.50%,-,-13.00%,2.20%,-1.02,-50.90M,-34.96%,-4.22%,-,-,-
LINK,4.80,70.28,-,-,0.00,0.14,-,7.10%,-6.80%,-792.10%,0.20%,-0.06,0.90M,2.30%,14.71%,10.70%,0.00%,8.80M
XFIN,,,,,,,,,,,,,,,,,,
LBC,0.64,6.35,10.89,0.91,0.23,1.39,5.44%,10.40%,17.00%,-40.80%,80.02%,0.81,70.70M,-37.67%,-23.31%,24.50%,25.90%,288.30M
KHC,0.94,19.29,12.49,4.15,0.41,1.96,4.23%,5.00%,4.50%,7.70%,0.40%,3.03,2.42B,0.93%,-6.21%,9.00%,81.00%,26.93B
UCTT,1.79,180.78,14.52,9.04,0.57,0.19,-,1.10%,5.90%,-112.40%,0.70%,2.39,9.10M,-0.67%,2.29%,0.40%,0.00%,2.24B
CAPR,17.60,-,-,-,0.55,-1.17,-,-222.20%,-195.40%,4.40%,0.20%,-0.52,-29.00M,26.66%,19.44%,-,-,5.50M
CRAI,3.40,16.58,15.19,1.66,0.51,5.67,1.53%,-,20.60%,-19.20%,4.00%,6.19,41.00M,9.55%,-23.74%,-,22.05%,595.40M
HHR,,,,,,,,,,,,,,,,,,
LITT,,,,,,,,,,,,,,,,,,
BPYPM,,,,,,,,,,,,,,,,,,
MOGO,0.51,-,-,-,0.81,-2.02,-,-101.40%,-67.30%,62.70%,12.52%,-0.14,-153.70M,-40.00%,34.90%,-,-,67.60M
WINV,,,,,,,,,,,,,,,,,,
MDGL,33.94,-,-,-,0.56,-18.09,-,-285.00%,-,-25.70%,17.68%,-10.09,-314.70M,303.68%,-4.47%,-,-,-
LWLG,29.04,-,-,-,0.00,-0.15,-,-,-,-,0.10%,-,-17.20M,-8.52%,69.37%,-,-,-
NVCT,20.73,-,-,-,0.00,-1.43,-,-138.40%,-,14.40%,29.10%,-1.26,-20.20M,8.42%,133.60%,-,-,-
KZR,0.82,-,-,-,0.04,-1.06,-,-27.00%,-,-16.10%,1.10%,-1.35,-74.40M,-45.23%,-59.23%,-,-,-
HCMA,1.39,48.06,-,-,0.00,0.22,-,3.00%,-,-88.00%,-,-,8.50M,-,3.06%,-,0.00%,-
BDGS,,,,,,,,,,,,,,,,,,
BMRA,3.50,-,-,-,0.00,-0.54,-,-95.20%,-54.90%,-,7.14%,-,-7.10M,-53.48%,-53.62%,-74.50%,-,9.50M
HYMCL,0.18,-,-,-,-,-1.54,-,-,-,-,-,-,-,-89.27%,-41.58%,-,-,24.06M
ESPR,-,-,-,-,-,-3.40,-,77.00%,280.90%,15.50%,0.60%,-0.04,-238.60M,-76.64%,-78.25%,-,-,81.00M
QCLN,-,-,-,-,-,-,0.42%,-,-,-,-,-,-,-16.62%,0.02%,-,-,-
PNQI,-,-,-,-,-,-,-,-,-,-,-,-,-,10.30%,29.77%,-,-,-
