P/B,P/E,Forward P/E,PEG,Debt/Eq,EPS (ttm),Dividend %,ROE,ROI,EPS Q/Q,Insider Own
2.49,25.14,17.39,4.21,0.19,7.06,1.94%,10.00%,6.80%,29.10%,0.37%
0.87,29.58,19.73,1.74,0.08,0.95,-,3.20%,49.80%,-161.30%,1.00%
7.41,-,-,-,0.00,-0.15,-,-58.20%,-63.70%,20.20%,20.11%
3.87,-,-,-,0.00,-0.42,-,-20.10%,-26.50%,-164.80%,16.90%
1.86,-,-,-,0.00,-3.14,-,-37.60%,-30.10%,-35.40%,1.00%
1.22,-,10.77,-,0.56,-0.29,-,-2.10%,-1.40%,123.40%,4.00%
0.75,-,-,-,0.00,-2.69,-,-176.90%,-508.80%,78.80%,2.79%
0.53,4.85,6.87,0.48,0.08,1.19,4.87%,11.60%,28.20%,1.80%,1.80%
0.62,-,-,-,0.00,-13.67,-,-194.40%,-,32.40%,0.90%
,,,,,,,,,,
26.81,-,-,-,3.02,-10.90,-,-152.70%,-73.50%,10.60%,0.07%
0.67,-,-,-,0.16,-0.40,-,-18.00%,-8.90%,71.00%,0.40%
2.43,-,17.19,-,0.32,-6.83,-,-1.30%,11.20%,-173.70%,0.10%
2.24,11.03,10.08,1.25,1.02,6.03,-,22.20%,14.00%,-59.50%,0.20%
-,-,-,-,-,-7.41,-,-,-720.10%,96.40%,0.20%
,,,,,,,,,,
2.29,-,-,-,-,-0.14,-,-,-,-,19.06%
0.39,13.41,12.34,-,0.17,2.01,7.58%,2.20%,1.30%,-627.30%,1.67%
2.46,-,-,-,0.27,-0.58,-,-136.40%,-144.60%,-61.30%,23.67%
-,-,-,-,-,-,0.11%,-,-,-,-
5.32,77.17,61.84,2.57,0.00,0.34,-,7.20%,10.80%,-565.00%,7.00%
4.92,17.93,16.24,1.26,0.11,1.20,2.99%,28.70%,24.60%,13.80%,4.80%
7.49,24.54,9.70,-,3.86,2.40,-,35.20%,11.50%,185.10%,0.40%
,,,,,,,,,,
1.52,5.33,6.25,-,0.45,24.27,7.02%,-,24.60%,-10.80%,0.20%
1.06,-,-,-,-,-0.06,-,-,-,-,18.05%
2.70,17.83,15.58,-,0.00,6.10,4.49%,15.40%,21.20%,-24.40%,0.80%
1.43,6.96,6.15,0.35,5.08,4.92,-,28.90%,6.30%,-44.80%,3.60%
0.49,-,-,-,0.00,-0.69,-,-71.40%,-27.20%,12.10%,0.20%
0.83,7.85,6.99,0.79,0.12,2.42,5.27%,11.00%,29.10%,39.20%,0.70%
-,-,-,-,-,-,1.90%,-,-,-,-
-,-,-,-,-,-,7.21%,-,-,-,-
1.58,-,-,-,0.00,-5.28,-,-119.40%,-118.50%,-11.90%,17.90%
,,,,,,,,,,
2.06,-,-,-,0.00,-2.82,-,-50.70%,-,56.90%,0.90%
0.29,-,-,-,0.72,-6.28,-,-67.10%,-194.90%,97.70%,1.30%
1.85,13.81,10.10,1.42,0.16,14.86,-,15.50%,13.50%,-3.40%,0.20%
4.47,13.67,4.83,0.55,10.90,0.44,-,27.50%,10.90%,-127.30%,0.60%
,,,,,,,,,,
8.07,295.29,48.03,-,0.56,0.41,-,3.00%,6.60%,181.20%,9.80%
6.97,-,-,-,0.00,-1.16,-,-22.30%,-25.50%,18.00%,1.30%
,,,,,,,,,,
,,,,,,,,,,
-,-,-,-,-,-2.13,-,-,-115.60%,-382.80%,31.40%
0.95,-,-,-,0.00,-0.11,-,-9.10%,-10.80%,-195.80%,17.96%
1.30,3.35,5.17,0.17,0.08,43.60,3.42%,-,32.10%,-5.60%,3.30%
,,,,,,,,,,
-,-,-,-,-,-,2.65%,-,-,-,-
1.01,1.80,7.77,-,2.46,704.41,0.24%,89.80%,15.40%,3412.20%,1.10%
3.37,-,-,-,1.89,-11.26,-,-277.60%,-167.10%,27.90%,-
1.68,-,-,-,0.00,-0.17,-,-27.60%,-16.10%,-12.70%,1.60%
-,-,-,-,-,-,0.27%,-,-,-,-
1.13,-,-,-,0.01,-0.56,-,-14.20%,-14.30%,16.20%,0.50%
0.86,-,6.80,-,0.38,-11.53,-,-4.40%,11.80%,263.20%,0.90%
,,,,,,,,,,
2.10,-,13.63,-,0.86,-2.44,-,-15.00%,-6.70%,-3.30%,3.42%
0.56,8.96,-,0.60,4.52,4.18,-,7.00%,0.20%,115.00%,19.00%
0.90,8.84,10.42,-,0.11,2.32,4.10%,-,21.70%,-23.40%,1.80%
5.05,24.77,22.48,1.91,0.39,8.91,1.18%,21.80%,18.60%,17.80%,0.40%
0.98,9.25,-,-,0.00,2.62,5.29%,11.10%,28.60%,30.90%,1.80%
,,,,,,,,,,
,,,,,,,,,,
0.20,0.97,1.14,-,0.16,0.74,-,25.40%,15.30%,16.00%,43.03%
0.71,4.60,4.78,0.57,0.35,4.26,4.08%,16.30%,23.30%,20.70%,0.20%
0.22,0.02,-,-,0.18,115.71,-,-251.60%,-50.90%,94.70%,0.10%
4.52,20.22,-,-,0.12,5.64,0.66%,23.50%,20.40%,31.80%,2.00%
0.23,-,-,-,0.00,-1.15,-,-50.30%,-,48.30%,5.20%
0.94,-,-,-,0.01,-3.25,-,0.20%,-10.60%,-689.60%,-
0.75,-,334.42,-,0.33,-5.92,-,-8.60%,-1.10%,279.80%,1.00%
6.97,62.92,46.60,2.52,0.52,1.40,-,11.10%,9.20%,-1.90%,2.00%
0.90,12.76,10.24,0.30,0.11,0.80,-,6.50%,5.60%,-22.50%,1.80%
2.17,-,-,-,1.63,-7.39,-,-121.30%,-78.60%,8.80%,26.97%
16.48,445.88,18.09,10.02,3.62,0.05,-,-,3.80%,135.50%,0.30%
0.69,6.91,7.12,0.86,0.13,4.69,1.85%,10.30%,17.30%,-25.70%,3.20%
0.66,9.47,8.55,-,0.00,1.27,4.65%,7.20%,23.50%,41.80%,8.20%
0.73,-,7.08,-,-,-0.01,13.33%,-,-,296.60%,3.58%
4.74,-,-,-,0.78,-2.92,-,-16.60%,-11.00%,60.00%,0.70%
1.73,-,-,-,0.00,-2.63,-,-23.20%,-14.00%,-203.00%,0.20%
3.57,-,-,-,0.05,-3.31,-,-55.70%,-,-10.20%,3.76%
1.88,-,-,-,0.00,-0.88,-,371.50%,-21.50%,34.40%,3.60%
-,-,-,-,-,-,2.40%,-,-,-,-
,,,,,,,,,,
9.61,52.42,-,-,0.03,0.20,-,3.40%,-,-108.00%,-
,,,,,,,,,,
0.57,-,6.31,-,0.04,-0.39,-,-24.10%,-26.70%,-389.60%,14.44%
5.25,-,-,-,0.00,-2.28,-,-36.90%,-,-50.30%,3.80%
,,,,,,,,,,
0.90,-,-,-,0.00,-2.51,-,-36.00%,-24.80%,-815.50%,0.70%
1.10,8.07,-,-,0.00,0.24,-,34.40%,-,114.50%,4.80%
0.74,-,-,-,0.00,-0.89,-,-35.70%,-37.50%,1.20%,1.70%
,,,,,,,,,,
2.41,-,12.78,-,1.74,-0.33,-,-3.40%,-1.50%,100.30%,0.20%
0.34,-,0.65,-,1.70,-3.46,-,-244.90%,-136.10%,78.00%,0.90%
0.02,33.66,19.71,-,1.27,0.04,-,4.60%,6.60%,-90.10%,27.10%
0.73,-,-,-,0.48,-1.78,-,-99.70%,-78.50%,-24.10%,18.10%
,,,,,,,,,,
-,-,-,-,-,-,2.76%,-,-,-,-
0.62,5.90,8.34,0.59,0.00,2.85,5.94%,11.10%,26.90%,-10.10%,0.50%
,,,,,,,,,,
7.74,46.78,-,-,0.08,0.23,-,4.20%,-,-135.20%,45.98%
-,-,-,-,-,-,-,-,-,-,-
0.37,7.80,5.37,-,0.23,0.47,-,4.90%,-5.40%,155.00%,1.20%
,,,,,,,,,,
,,,,,,,,,,
-,-,-,-,-,-,2.25%,-,-,-,-
,,,,,,,,,,
