P/B,P/E,Forward P/E,PEG,Debt/Eq,EPS (ttm),Dividend %,ROE,ROI,EPS Q/Q,Insider Own
0.87,-,-,-,0.00,-1.16,-,-97.40%,-93.50%,9.60%,5.20%
,,,,,,,,,,
-,-,-,-,-,-,0.55%,-,-,-,-
1.76,12.65,7.51,-,5.18,1.11,7.63%,14.10%,13.90%,213.60%,0.20%
2.71,-,-,-,9.62,-1.95,-,-172.80%,-34.10%,-321.00%,11.60%
8.74,33.47,24.20,1.37,1.04,2.10,0.28%,29.70%,13.60%,27.40%,26.40%
0.88,9.53,-,-,0.01,1.18,4.98%,9.60%,28.60%,2.90%,0.40%
,,,,,,,,,,
-,16.96,12.21,-,-,1.61,2.19%,-11.10%,36.80%,-82.30%,0.80%
0.80,9.45,9.64,0.60,0.03,1.68,2.01%,8.90%,4.80%,-27.50%,40.50%
-,-,-,-,-,-,2.79%,-,-,-,-
2.57,29.04,24.11,2.71,0.37,1.06,-,9.40%,6.20%,0.40%,3.50%
1.25,-,-,-,0.00,-0.76,-,-,-,-,25.50%
5.16,-,-,-,0.08,-0.31,-,-16.30%,-6.40%,-,6.00%
0.87,-,-,-,0.02,-1.45,-,-52.30%,-,34.70%,0.20%
,,,,,,,,,,
2.55,245.76,-,-,0.00,0.17,-,1.00%,-5.40%,35.60%,30.40%
,,,,,,,,,,
14.09,-,-,-,154.07,-6.50,-,-199.20%,-13.40%,-,4.40%
,,,,,,,,,,
-,-,-,-,-,-,1.69%,-,-,-,-
7.14,-,-,-,0.26,-2.20,-,-34.00%,-33.80%,-51.90%,0.30%
0.31,-,-,-,0.19,-2.36,-,-38.30%,-29.90%,21.60%,21.50%
1.06,-,-,-,2.08,-75.21,-,781.10%,-,94.00%,1.90%
,,,,,,,,,,
,,,,,,,,,,
6.85,119.03,11.62,11.39,0.00,0.22,3.10%,-,-5.30%,-49.20%,11.36%
8.46,-,5.67,-,1.27,-1.36,-,-56.10%,-28.20%,11.60%,-
0.20,-,-,-,0.00,-4.38,-,-30.00%,-,43.10%,9.00%
2.39,-,-,-,0.00,-1.25,-,-19.90%,-,21.50%,1.30%
0.64,-,-,-,0.00,-1.58,-,-109.70%,-100.30%,22.20%,32.43%
2.09,25.67,14.96,-,1.58,0.35,-,8.20%,6.80%,5.00%,0.20%
0.24,-,-,-,0.36,-6.35,-,-452.70%,-112.30%,-72.10%,9.20%
,,,,,,,,,,
14.06,-,-,-,0.65,-0.02,-,-,25.00%,-,64.90%
0.72,-,-,-,0.38,-5.55,-,-,-0.40%,-242.80%,23.97%
0.38,-,-,-,-,-0.09,-,-,-,-,-
0.21,-,-,-,1.07,-1.62,-,-58.50%,-32.10%,15.20%,0.60%
2.90,11.25,-,-,0.00,14.44,3.69%,26.20%,30.70%,46.60%,0.60%
,,,,,,,,,,
0.73,-,58.64,-,0.41,-0.35,-,-37.80%,3.60%,-222.20%,0.20%
1.74,33.41,16.18,5.38,0.52,0.93,2.58%,5.20%,5.50%,-19.60%,37.20%
8.21,96.84,11.93,4.84,4.01,0.96,0.32%,9.20%,10.90%,-10.70%,11.00%
2.40,9.15,5.60,0.31,3.50,1.72,2.80%,27.50%,10.30%,3.40%,0.20%
0.88,8.93,9.35,17.85,1.09,1.95,-,11.80%,7.70%,-55.40%,0.10%
0.74,5.27,6.44,0.35,0.28,1.71,-,15.10%,24.70%,-3.30%,16.30%
-,-,-,-,-,-,1.65%,-,-,-,-
1.01,7.45,7.76,0.83,0.10,5.54,2.42%,14.50%,26.00%,19.10%,2.00%
,,,,,,,,,,
,,,,,,,,,,
1.04,3.57,-,0.12,0.00,0.82,-,34.20%,-3.30%,620.70%,1.40%
6.56,34.07,3.28,1.26,0.03,1.15,-,20.00%,17.30%,-51.30%,-
-,-,-,-,-,-,1.40%,-,-,-,-
0.37,-,-,-,1.95,-28.13,-,-250.90%,-123.70%,88.60%,0.88%
-,-,-,-,-,-,2.40%,-,-,-,-
6.24,-,-,-,0.00,-1.10,-,-158.10%,-,4.40%,18.70%
,,,,,,,,,,
0.80,574.44,6.37,47.87,1.36,0.02,13.15%,0.10%,-,82.50%,0.29%
-,-,-,-,-,-,2.82%,-,-,-,-
0.83,-,32.54,-,0.08,-1.42,-,-18.80%,-38.50%,64.00%,5.20%
1.38,-,-,-,2.23,-0.29,-,-37.10%,1.00%,-137.80%,3.80%
7.07,86.77,22.83,2.65,0.00,3.41,-,9.30%,2.90%,292.50%,0.60%
0.66,-,6.10,-,1.06,-0.92,-,-8.60%,-3.10%,26.30%,0.20%
0.57,-,-,-,1.16,-0.92,-,-133.30%,-54.70%,69.40%,1.40%
0.96,-,-,-,0.18,-1.75,-,-109.30%,-22.10%,12.80%,6.30%
-,-,20.63,-,-,-9.36,-,14.10%,-1.00%,-357.20%,0.40%
-,-,-,-,-,-,2.75%,-,-,-,-
1.10,12.77,-,-,0.00,15.53,1.27%,11.30%,17.90%,-28.00%,2.20%
2.77,2.09,14.40,-,11.46,0.52,-,-,23.70%,59.70%,34.94%
5.85,-,-,-,0.00,-1.16,-,-20.00%,-19.80%,23.70%,21.73%
1.23,53.50,51.81,2.67,0.00,0.12,-,2.30%,2.50%,-474.50%,2.80%
1.79,10.17,6.18,-,0.00,3.45,-,19.70%,28.40%,96.90%,3.20%
0.58,-,5.94,-,0.45,-2.92,-,-8.70%,-5.30%,-667.20%,5.50%
1.16,-,-,-,0.17,-1.99,-,-49.40%,-43.90%,2.10%,0.20%
-,-,-,-,-,-1.13,-,-,-,59.00%,0.10%
,,,,,,,,,,
,,,,,,,,,,
0.71,-,-,-,-,-0.58,-,-,-,-,3.27%
,,,,,,,,,,
0.64,-,12.98,-,0.00,-1.52,1.96%,-11.50%,11.80%,-60.80%,0.20%
-,-,-,-,-,-2.27,-,133.90%,-67.70%,-34.90%,2.30%
4.98,24.72,22.01,0.77,0.00,4.42,-,24.60%,16.80%,1.80%,1.70%
2.70,-,21.01,-,0.11,-0.30,1.21%,-2.40%,1.20%,24.20%,1.90%
1.16,-,-,-,0.00,-0.63,-,-7.60%,-25.10%,80.70%,0.60%
5.41,15.38,8.98,0.85,0.64,1.50,-,37.60%,20.60%,5.60%,1.20%
19.77,-,60.21,-,0.49,-0.27,-,-6.20%,-3.30%,-367.80%,0.70%
1.01,12.89,-,-,0.11,0.23,-,8.10%,10.00%,403.40%,24.20%
-,-,-,-,-,-2.83,-,36.60%,-113.10%,31.80%,4.30%
0.35,-,-,-,0.05,-7.90,-,-53.50%,-70.90%,14.40%,7.62%
,,,,,,,,,,
0.91,6.02,6.96,0.75,0.29,4.43,4.95%,16.10%,23.70%,80.70%,8.25%
-,-,-,-,-,-2.05,-,35.10%,6.10%,22.20%,0.60%
1.52,10.36,8.05,-,0.16,5.24,-,16.30%,13.60%,60.70%,1.80%
-,-,-,-,-,-,1.77%,-,-,-,-
1.24,10.15,8.04,-,0.20,1.78,3.77%,13.40%,28.10%,-36.60%,0.10%
5.13,8.90,6.69,0.59,0.69,1.79,-,54.60%,51.10%,-33.90%,6.00%
0.67,-,53.26,-,2.96,-2.23,6.99%,-50.50%,-1.90%,-,1.33%
0.41,-,-,-,0.24,-0.03,-,-0.80%,5.40%,-82.20%,55.78%
,,,,,,,,,,
0.72,6.26,9.54,-,0.18,2.09,4.88%,11.40%,37.20%,-58.80%,20.10%
0.82,-,-,-,2.03,-0.93,-,-81.40%,-24.70%,-,51.95%
3.08,-,-,-,0.00,-1.67,-,-287.10%,-856.10%,55.30%,0.90%
0.93,-,-,-,0.00,-2.00,-,-115.20%,-,36.90%,0.50%
6.08,16.30,14.38,1.09,0.00,3.56,2.48%,36.80%,43.20%,-10.90%,3.70%
,,,,,,,,,,
0.74,-,-,-,0.00,-0.10,-,-3.30%,-10.60%,-80.50%,5.60%
,,,,,,,,,,
,,,,,,,,,,
0.83,-,11.95,-,4.17,-1.36,-,-,2.20%,-171.30%,3.80%
5.49,-,-,-,0.28,-2.15,-,-56.60%,-48.60%,34.90%,0.20%
0.39,-,-,-,0.00,-1.05,-,-54.00%,-,-14.60%,1.40%
1.32,-,-,-,0.00,-0.04,-,-1.50%,-,-,-
8.75,-,19.08,-,2.25,-4.37,-,-251.70%,-126.70%,11.60%,0.90%
,,,,,,,,,,
6.92,-,-,-,0.00,-1.22,-,-138.40%,-,145.00%,0.70%
-,-,-,-,-,-0.68,0.98%,47.50%,9.60%,-144.20%,1.10%
2.36,39.35,4.17,1.92,1.58,0.11,0.94%,18.40%,5.60%,-96.20%,9.68%
0.16,-,-,-,0.17,-2.91,-,-74.20%,-43.90%,68.90%,1.30%
0.39,-,-,-,0.00,-5.79,-,-18.70%,-15.90%,-11.10%,2.20%
4.43,-,-,-,-,-0.78,-,-,-36.00%,-,-
,,,,,,,,,,
1.98,15.03,11.80,0.60,0.30,0.78,1.71%,14.30%,7.50%,22.40%,3.50%
2.57,-,-,-,0.15,-5.74,-,-,-74.30%,-,28.73%
0.55,-,-,-,0.00,-0.32,-,-27.10%,-28.70%,-4.30%,16.88%
1.49,13.90,46.63,0.93,0.22,1.15,1.87%,-,0.50%,318.90%,1.00%
0.51,-,10.95,-,0.40,-4.55,-,-22.90%,1.00%,-,1.00%
0.58,-,5.43,-,-,-0.21,13.68%,-,-,-,26.55%
0.91,7.62,7.98,0.63,0.15,4.48,1.76%,12.60%,20.80%,1540.50%,1.00%
,,,,,,,,,,
4.70,-,-,-,0.02,-4.66,-,-89.10%,-52.10%,-64.10%,1.91%
-,-,-,-,-,-0.41,-,-,-166.90%,27.20%,8.80%
2.03,-,-,-,0.00,-0.58,-,-20.40%,-1.80%,85.90%,0.60%
-,-,-,-,-,-,1.06%,-,-,-,-
1.03,-,-,-,0.01,-0.60,-,-81.00%,-,49.30%,3.23%
1.47,2.44,4.59,0.16,0.21,8.65,-,75.40%,47.90%,-32.80%,0.70%
-,-,-,-,-,-,0.62%,-,-,-,-
0.52,-,-,-,0.01,-6.32,-,-78.40%,-,-227.40%,0.90%
1.23,4.38,5.08,-,4.78,3.59,6.36%,32.80%,61.20%,-92.60%,9.16%
0.96,6.12,6.97,-,0.00,2.34,-,16.90%,38.20%,84.70%,0.60%
2.25,-,-,-,-,-0.51,-,-,-16.00%,-,-
1.32,-,-,-,0.12,-0.32,-,-18.10%,-18.90%,57.60%,0.10%
4.12,7.57,9.93,-,0.35,0.58,-,-,38.80%,-74.70%,60.27%
-,-,-,-,-,-,2.04%,-,-,-,-
4.68,19.46,17.76,1.86,0.33,8.80,0.98%,25.90%,20.70%,-17.70%,0.30%
1.02,7.96,9.18,1.14,0.09,4.20,3.58%,13.50%,24.30%,58.90%,1.40%
0.22,-,-,-,0.01,-2.21,-,-52.40%,-59.90%,6.20%,0.20%
-,-,-,-,-,-3.29,-,-,-139.50%,-300.50%,73.64%
,,,,,,,,,,
-,-,-,-,-,-,1.12%,-,-,-,-
0.25,-,-,-,0.25,-1.74,-,-58.60%,-,-4.70%,6.84%
2.18,-,-,-,0.14,-0.12,-,-10.90%,-6.80%,-133.50%,1.00%
-,-,-,-,-,-1.60,-,557.20%,573.10%,50.20%,18.00%
2.12,-,-,-,0.00,-0.70,-,-108.50%,-203.30%,101.90%,0.32%
1.32,152.54,-,-,0.00,0.07,-,0.90%,-,372.10%,7.02%
-,-,-,-,-,-0.08,-,-,-14.40%,-,-
22.51,59.50,34.34,3.97,0.00,1.42,-,42.30%,29.90%,56.30%,1.00%
1.47,-,21.09,-,0.33,-0.06,-,-0.20%,1.20%,22.70%,2.10%
1.60,52.71,6.01,8.79,2.54,0.12,-,9.10%,9.10%,-151.00%,2.10%
,,,,,,,,,,
1.74,-,-,-,0.00,-0.91,-,-35.30%,-,62.90%,10.15%
0.65,5.93,8.11,0.85,1.03,1.81,7.82%,11.20%,28.00%,-44.70%,0.10%
4.85,17.47,14.54,-,0.00,6.01,-,29.80%,28.60%,16.80%,2.01%
,,,,,,,,,,
0.58,-,-,-,0.00,-0.39,-,-68.40%,-78.20%,-56.80%,1.10%
3.04,-,-,-,0.88,-4.06,-,-149.00%,-,2.90%,0.10%
0.33,-,-,-,0.00,-2.94,-,-62.70%,-33.80%,-258.70%,54.37%
,,,,,,,,,,
0.69,-,-,-,0.00,-1.81,-,-93.80%,-,22.60%,0.60%
1.33,-,-,-,0.99,-0.23,-,-1.80%,-9.10%,152.50%,3.50%
,,,,,,,,,,
0.75,-,-,-,0.50,-0.44,-,-61.80%,-67.40%,2.10%,18.70%
-,-,-,-,-,-,0.63%,-,-,-,-
-,-,-,-,-,-0.31,-,-316.90%,-106.10%,59.20%,0.20%
,,,,,,,,,,
,,,,,,,,,,
8.59,-,-,-,2.90,-0.57,-,-206.90%,-79.10%,63.80%,-
0.31,-,-,-,0.00,-1.30,-,-34.40%,-34.60%,-6.00%,6.00%
0.29,-,-,-,0.07,-0.40,-,-18.20%,-15.30%,-233.70%,57.38%
3.43,-,-,-,1.42,-5.69,-,-160.50%,-74.00%,-2.80%,1.40%
5.22,33.75,9.42,0.94,1.56,0.95,3.36%,15.00%,6.50%,24.10%,6.94%
3.20,41.61,24.96,1.92,0.43,2.58,0.82%,8.20%,7.10%,-21.80%,0.30%
0.27,-,5.78,-,1.13,-21.41,-,-266.90%,-,41.90%,17.77%
0.81,22.51,7.44,-,-,0.75,9.24%,-,-,71.20%,0.39%
,,,,,,,,,,
,,,,,,,,,,
6.35,-,-,-,0.39,-2.22,-,-53.40%,-38.40%,69.90%,1.40%
-,-,-,-,-,-,3.31%,-,-,-,-
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
-,-,-,-,-,-,4.68%,-,-,-,-
1.63,-,-,-,0.34,-0.62,-,-189.50%,-244.60%,59.40%,23.30%
0.11,3.37,-,0.18,0.01,0.87,-,3.50%,3.60%,-367.00%,3.70%
0.06,-,-,-,0.00,-0.17,-,-0.60%,-,93.80%,55.18%
-,-,-,-,-,-,4.66%,-,-,-,-
,,,,,,,,,,
6.72,-,-,-,8.05,-2.90,-,303.40%,-,-0.30%,4.02%
3.79,-,-,-,0.00,-0.17,-,-,1034.10%,109.30%,1.20%
-,-,-,-,-,-3.15,-,67.90%,330.00%,92.70%,6.88%
14.06,42.71,25.58,-,0.20,1.63,-,37.50%,28.70%,46.40%,12.60%
-,-,48.40,-,-,-0.41,-,37.00%,133.40%,87.40%,4.20%
0.83,-,-,-,0.00,-0.66,-,-17.60%,-,35.00%,0.10%
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
2.80,-,-,-,0.08,-0.54,-,-,-51.80%,-177.60%,34.42%
1.33,8.89,9.89,-,0.46,0.78,6.94%,15.60%,16.50%,-87.10%,12.30%
-,-,-,-,-,-,14.05%,-,-,-,-
-,-,-,-,-,-0.16,-,124.60%,-250.00%,80.30%,2.50%
,,,,,,,,,,
0.20,2.63,3.45,0.38,1.05,1.56,1.95%,7.80%,21.00%,-72.40%,0.80%
0.77,-,-,-,0.90,-0.43,3.50%,-,2.50%,48.60%,7.16%
0.21,-,-,-,0.03,-3.73,-,-146.90%,-,-40.10%,9.10%
-,-,-,-,-,-,1.52%,-,-,-,-
2.58,14.83,-,-,0.28,1.83,1.03%,18.70%,24.10%,12.60%,60.43%
9.10,32.81,16.47,1.21,0.01,0.38,-,31.00%,28.80%,35.50%,11.13%
,,,,,,,,,,
2.66,100.71,9.00,26.36,2.19,0.04,-,4.40%,5.70%,210.80%,0.22%
,,,,,,,,,,
2.11,27.92,17.26,2.33,0.93,0.82,-,7.90%,7.80%,-323.90%,0.80%
0.55,-,-,-,0.06,-1.23,-,-33.50%,-38.40%,75.10%,28.58%
0.91,2.24,20.52,-,0.00,0.70,-,44.80%,1.40%,87.70%,10.43%
1.86,-,-,-,0.00,-0.67,-,-25.50%,-,12.90%,2.20%
,,,,,,,,,,
0.87,5.03,-,-,0.20,1.89,3.37%,16.70%,30.30%,7.70%,8.10%
7.30,532.08,34.79,33.26,0.94,0.39,0.72%,1.40%,4.80%,-116.80%,28.10%
-,-,-,-,-,-,1.75%,-,-,-,-
0.86,3.89,2.69,-,0.19,0.23,-,25.60%,14.20%,242.80%,0.21%
,,,,,,,,,,
3.30,-,-,-,0.00,-0.68,-,-23.60%,-27.90%,30.80%,0.10%
2.77,-,-,-,0.00,-4.18,-,-157.00%,-190.00%,85.80%,3.30%
0.95,-,-,-,0.00,-1.59,-,-95.40%,-130.20%,-188.40%,13.80%
,,,,,,,,,,
0.29,7.61,-,-,0.08,0.09,-,4.60%,3.00%,118.30%,-
10.17,101.04,49.47,6.74,0.00,1.56,-,-,10.20%,20.80%,0.80%
-,65.28,-,-,-,0.36,-,-,-,-,96.14%
-,-,-,-,-,-,2.51%,-,-,-,-
3.52,307.05,18.01,47.98,0.00,0.04,-,-,-1.20%,357.10%,0.06%
0.80,-,-,-,0.09,-2.00,-,-154.70%,-,34.40%,58.06%
1.10,-,5.88,-,0.31,-0.22,-,-1.10%,16.90%,-87.20%,0.20%
-,-,-,-,-,-,1.51%,-,-,-,-
-,-,-,-,-,-,1.30%,-,-,-,-
1.45,31.26,-,-,0.00,0.35,-,4.70%,-,-89.50%,-
5.53,18.44,-,-,0.62,0.18,-,-,21.00%,-77.40%,83.16%
-,26.82,22.36,2.47,-,34.60,-,-176.70%,70.30%,15.50%,0.60%
0.74,-,-,-,0.04,-1.11,-,-93.90%,-166.30%,-,26.10%
3.80,-,46.84,-,1.60,-3.30,-,-39.00%,-6.80%,-560.70%,1.70%
4.96,18.04,12.41,2.44,0.21,2.78,3.11%,28.40%,22.90%,-4.70%,0.10%
-,-,-,-,-,-,1.56%,-,-,-,-
2.47,16.17,12.62,-,2.44,2.44,2.94%,16.40%,4.30%,-14.10%,1.90%
4.43,15.85,-,-,0.00,0.28,-,-,29.90%,28.50%,65.94%
7.89,-,-,-,0.05,-0.89,-,-76.10%,-72.50%,-20.70%,4.30%
3.13,13.87,18.31,5.55,0.00,21.53,-,24.20%,9.80%,29.80%,0.10%
3.67,-,-,-,0.00,-2.87,-,-34.10%,-32.70%,1.00%,11.00%
1.33,17.03,-,-,0.04,0.74,1.27%,8.20%,-0.20%,247.30%,12.00%
0.77,1017.86,8.22,110.16,1.72,0.01,-,0.10%,3.90%,-205.90%,0.49%
0.88,9.96,8.24,-,0.10,1.03,-,9.50%,25.50%,-90.60%,8.30%
-,-,-,-,-,-2.24,-,-,-,-6.80%,2.20%
0.64,-,-,-,0.00,-0.37,-,-51.70%,-,44.10%,21.32%
1.97,11.95,-,-,0.22,12.68,0.53%,18.10%,11.20%,72.30%,4.70%
-,-,-,-,-,-,0.37%,-,-,-,-
-,-,-,-,-,-,2.74%,-,-,-,-
0.38,-,-,-,-,-7.19,-,-,-,-,20.68%
,,,,,,,,,,
,,,,,,,,,,
-,-,-,-,-,-,0.21%,-,-,-,-
3.27,24.19,11.98,4.74,1.20,0.74,-,13.80%,12.30%,-602.00%,0.30%
4.45,62.64,14.05,12.53,0.50,1.59,-,7.40%,8.00%,-73.00%,1.17%
0.64,-,-,-,0.01,-4.29,-,-59.20%,-,-240.00%,0.75%
1.91,4.95,9.93,0.18,0.37,18.78,1.83%,42.40%,35.30%,-35.30%,5.80%
2.21,-,-,-,-,-,9.89%,-,-,30.90%,-
0.77,-,-,-,0.08,-0.99,-,-97.90%,-,56.40%,0.40%
1.36,35.32,-,-,0.00,0.30,-,3.90%,-,-,-
1.87,-,-,-,0.00,-1.94,-,-44.20%,-,-5.20%,27.61%
1.37,16.75,13.04,2.84,-,2.07,-,-,-,-31.00%,3.93%
1.19,-,-,-,-,-0.46,-,-,-,-,76.18%
5.14,-,-,-,0.70,-1.73,-,-210.80%,-91.00%,-171.00%,25.42%
,,,,,,,,,,
-,-,-,-,-,-11.76,-,465.10%,-,64.40%,1.20%
1.17,11.63,12.00,-,0.15,1.67,5.76%,10.30%,24.30%,-7.90%,3.00%
7.30,10.10,0.36,-,5.38,1.20,5.75%,75.30%,20.30%,-28.30%,53.65%
1.21,77.88,-,-,0.00,0.13,-,1.30%,-,983.00%,-
597.94,-,-,-,-,-,-,-,-,0.00%,-
,,,,,,,,,,
0.74,-,-,-,0.02,-0.97,-,-68.90%,-73.90%,-1.60%,17.03%
0.46,-,-,-,0.87,-0.99,-,-23.30%,-6.60%,-122.90%,0.50%
3.59,-,-,-,-,-6.11,-,-,-,1900.00%,88.63%
0.75,-,7.43,-,0.10,-0.46,5.59%,-1.70%,-1.60%,-376.40%,1.10%
,,,,,,,,,,
0.96,-,3.64,-,0.00,-0.17,-,-29.50%,-25.30%,-79.20%,20.00%
,,,,,,,,,,
2.27,-,-,-,0.00,-2.88,-,-35.90%,-,15.70%,32.05%
-,-,-,-,-,-4.26,-,-,-36.90%,-47.30%,0.70%
9.98,-,-,-,1.39,-1.58,-,-130.40%,-75.90%,-5.90%,0.20%
,,,,,,,,,,
4.79,-,19.39,-,0.29,-1.00,-,-15.70%,-10.00%,-14.70%,1.75%
1.16,31.54,-,-,2.07,0.04,-,-,3.90%,-79.00%,88.45%
,,,,,,,,,,
1.75,10.33,-,-,0.00,5.54,-,22.50%,25.70%,-39.00%,59.30%
0.69,-,8.37,-,0.12,-0.06,4.09%,-7.00%,-1.00%,683.00%,2.10%
2.17,-,337.27,-,0.00,-1.80,-,-16.30%,-12.60%,-162.90%,3.00%
0.98,6.64,-,-,0.07,5.70,0.11%,16.20%,23.80%,24.20%,5.60%
2.97,-,14.99,-,0.00,-0.35,-,0.10%,1.60%,-86.30%,9.34%
,,,,,,,,,,
,,,,,,,,,,
0.51,-,-,-,0.00,-1.62,-,-47.70%,-,65.20%,25.64%
0.95,14.17,-,-,0.00,0.62,-,7.00%,22.90%,194.20%,0.10%
-,-,-,-,-,-2.14,-,-,-,-,45.39%
,,,,,,,,,,
5.24,-,16.04,-,1.22,-0.96,-,-6.80%,-1.10%,-38.70%,0.60%
,,,,,,,,,,
6.14,-,-,-,0.01,-0.70,-,-24.90%,-25.40%,-14.00%,2.50%
0.26,53.29,-,-,0.43,0.17,-,-,-8.90%,0.00%,16.75%
4.47,-,-,-,0.61,-0.28,-,-25.30%,-50.70%,-85.90%,20.10%
,,,,,,,,,,
0.11,-,-,-,1.15,-191.84,-,-490.60%,-202.60%,84.80%,2.63%
1.84,-,-,-,0.00,-4.09,-,-,-43.50%,-206.50%,6.90%
1.05,4.98,5.61,0.50,0.23,9.59,4.61%,22.80%,24.40%,50.10%,6.40%
0.24,-,17.28,-,-,-0.84,-,26.10%,12.10%,-,23.98%
1.04,-,-,-,0.00,-0.23,-,-23.60%,-,-31.30%,0.04%
6.72,20.76,7.74,1.72,2.40,1.16,3.98%,43.20%,16.30%,27.60%,0.70%
0.67,4.78,6.26,0.68,0.23,4.17,6.02%,14.50%,24.40%,-6.50%,2.80%
,,,,,,,,,,
-,-,-,-,-,-,1.92%,-,-,-,-
1.94,5.50,-,-,0.00,0.69,-,65.60%,38.80%,20.80%,3.20%
-,-,-,-,-,-,0.31%,-,-,-,-
1.68,-,-,-,0.12,-0.80,-,-39.50%,-22.50%,4.30%,1.56%
1.31,64.17,-,-,0.00,0.16,-,2.10%,-,836.10%,-
,,,,,,,,,,
-,-,-,-,-,-,11.55%,-,-,-,-
3.11,-,92.12,-,0.00,-0.01,-,0.10%,2.30%,-379.80%,4.90%
2.24,-,-,-,0.00,-0.46,-,-300.50%,377.00%,-111.30%,57.77%
3.95,-,-,-,0.00,-0.79,-,-58.60%,-,-30.30%,0.60%
-,-,-,-,-,-,3.95%,-,-,-,-
,,,,,,,,,,
8.34,-,-,-,0.91,-1.19,-,-151.30%,-,7.10%,0.31%
,,,,,,,,,,
2.47,16.07,11.71,0.40,0.89,4.57,0.33%,17.00%,13.00%,-27.70%,0.10%
0.91,6.01,6.03,0.75,0.38,2.35,3.39%,16.10%,28.70%,15.90%,3.00%
14.26,-,45.18,-,0.22,-0.20,-,-13.60%,-3.70%,-,2.80%
1.38,8.89,10.85,0.99,0.00,3.17,3.54%,16.80%,27.80%,128.70%,0.60%
1.40,-,-,-,0.00,-5.69,-,-87.80%,-144.10%,-76.70%,0.54%
2.17,28.55,19.28,1.90,0.00,3.10,-,8.00%,7.10%,47.60%,1.30%
1.50,-,-,-,0.49,-0.53,-,-,-42.60%,-253.50%,26.02%
2.80,-,-,-,0.29,-0.31,-,-13.30%,-1.20%,-134.80%,0.60%
0.61,-,2.56,-,12.78,-6.76,-,-239.70%,-28.20%,1900.00%,0.20%
0.63,6.25,5.84,0.89,0.15,2.77,4.62%,10.50%,19.30%,8.40%,2.30%
-,-,-,-,-,-,3.88%,-,-,-,-
1.69,-,-,-,-,-0.52,-,-,-,-,4.01%
,,,,,,,,,,
4.38,-,-,-,0.00,-4.04,-,-44.10%,-7.40%,-528.90%,7.00%
14.13,-,-,-,0.24,-0.79,-,-90.40%,-71.80%,-18.60%,1.90%
4.96,-,-,-,0.00,-0.68,-,-36.80%,-,-22.30%,2.95%
1.10,24.70,9.73,2.72,0.66,0.95,3.68%,4.40%,4.40%,-97.20%,0.10%
-,-,-,-,-,-1.00,-,431.90%,299.00%,10.60%,8.50%
0.55,-,-,-,0.00,-1.94,-,-101.10%,-,-12.20%,4.63%
,,,,,,,,,,
-,-,-,-,-,-,2.15%,-,-,-,-
0.94,5.69,6.57,-,0.02,6.21,3.51%,17.30%,39.30%,5.20%,1.10%
1.06,-,-,-,0.00,-1.62,-,-29.20%,-,-3.10%,0.20%
1.17,-,-,-,0.00,-0.33,-,-94.00%,-108.50%,12.10%,1.50%
0.09,-,-,-,0.02,-0.08,-,-1.00%,-,65.20%,3.32%
0.65,-,-,-,0.27,-0.47,-,-23.20%,-20.70%,34.40%,1.40%
1.05,-,7.95,-,2.72,-12.84,-,-65.70%,-16.20%,224.00%,2.80%
3.26,-,17.18,-,0.38,-0.17,-,-7.10%,-6.60%,82.00%,1.30%
1.10,17.58,7.23,17.58,1.08,1.05,11.73%,6.40%,5.60%,-36.70%,2.60%
0.96,8.87,10.28,-,0.16,1.93,4.44%,11.00%,21.10%,-30.10%,0.40%
1.58,-,-,-,0.00,-2.39,-,-54.90%,-,7.30%,0.10%
,,,,,,,,,,
2.61,-,-,-,0.00,-9.38,-,-42.30%,-43.70%,-19.00%,0.10%
0.50,22.21,-,0.70,0.00,0.14,-,2.30%,-3.40%,112.50%,4.80%
0.53,-,9.12,-,0.00,-0.10,1.67%,-0.30%,1.80%,123.60%,0.50%
0.42,3.44,5.31,-,0.38,3.17,5.87%,12.70%,17.50%,-21.80%,17.40%
0.60,-,-,-,0.00,-1.26,-,-29.70%,-,12.30%,11.70%
-,-,-,-,-,-,2.44%,-,-,-,-
-,-,-,-,-,-2.31,-,-,-398.20%,8.00%,0.50%
-,-,-,-,-,-,2.32%,-,-,-,-
0.51,3.23,7.06,-,0.24,3.50,3.37%,-,29.10%,-62.30%,3.10%
0.86,23.43,7.63,-,-,0.28,-,-,-,-79.30%,0.50%
5.15,18.73,14.05,3.38,0.00,6.59,-,27.70%,25.70%,16.50%,24.80%
,,,,,,,,,,
0.95,7.30,6.58,0.61,0.11,4.93,3.89%,13.60%,20.40%,37.90%,0.10%
-,-,-,-,-,-,0.19%,-,-,-,-
0.33,-,-,-,0.00,-1.04,-,-94.50%,-156.00%,-154.40%,0.10%
,,,,,,,,,,
1.69,14.16,5.73,1.93,0.29,3.56,3.77%,13.30%,9.00%,-0.70%,16.40%
0.90,-,-,-,0.54,-0.54,-,-18.40%,-9.30%,61.40%,-
0.93,3.82,3.81,-,0.32,1.02,-,29.10%,21.50%,124.50%,3.20%
0.79,-,25.44,-,0.21,-0.40,-,-6.20%,21.70%,-109.60%,48.44%
,,,,,,,,,,
0.64,-,6.86,-,0.50,-0.32,-,-3.10%,-4.00%,-346.50%,4.70%
,,,,,,,,,,
