,P/B,P/E,Forward P/E,PEG,Debt/Eq,EPS (ttm),Dividend %,ROE,ROI,EPS Q/Q,Insider Own
BLNK,1.17,-,-,-,0.00,-2.11,-,-36.70%,-34.20%,-47.90%,5.00%
SLRN,-,-,-,-,-,-11.04,-,-,-,-,-
TETE,,,,,,,,,,,
BKSC,2.00,11.93,-,-,0.00,1.17,4.86%,15.80%,43.80%,17.80%,7.00%
OTRK,1.94,-,-,-,1.50,-2.24,-,-479.60%,-278.00%,53.80%,0.10%
HNNA,0.62,10.90,-,-,0.45,0.66,7.68%,5.80%,6.50%,-26.00%,41.40%
MOTS,-,-,-,-,-,-5.26,-,-,-,50.40%,2.10%
AVHIU,,,,,,,,,,,
VALN,3.99,-,-,-,-,-2.38,-,-,-,-,-
SLRC,0.77,32.11,8.36,-,-,0.44,11.61%,-,-,-,7.69%
FTGS,,,,,,,,,,,
AUVI,1.40,-,-,-,0.17,-0.28,-,-45.50%,-81.10%,-100.60%,45.44%
CPSH,2.68,20.47,-,-,0.00,0.15,-,14.10%,9.40%,9.60%,0.20%
LPSN,4.38,-,-,-,8.98,-2.38,-,-207.10%,-27.70%,72.90%,0.90%
ZINGU,,,,,,,,,,,
FSFG,0.52,8.32,4.31,-,0.30,1.52,4.43%,6.60%,23.70%,-45.00%,7.70%
LIFW,10.48,-,-,-,1.65,-0.17,-,-,14.60%,93.80%,0.90%
DGICB,,,,,,,,,,,
CLOA,,,,,,,,,,,
RVPH,9.77,-,-,-,0.00,-1.35,-,-138.90%,-,-49.10%,0.70%
TRNR,-,-,-,-,-,-4.06,-,-,-648.50%,-,-
RXRX,3.94,-,-,-,0.00,-1.38,-,-57.10%,-50.50%,-4.00%,5.50%
CNSP,0.96,-,-,-,0.09,-11.53,-,-220.90%,-,-6.20%,14.23%
BIOSU,,,,,,,,,,,
PRSO,1.45,-,-,-,0.00,-1.38,-,-130.40%,-,57.30%,1.10%
FLN,-,-,-,-,-,-,5.21%,-,-,-,-
UTAAU,,,,,,,,,,,
DNUT,2.09,-,34.20,-,0.68,-0.12,0.93%,-1.70%,1.40%,-108.40%,2.80%
URGN,-,-,-,-,-,-4.86,-,144.00%,-997.50%,-3.40%,1.90%
SAVA,4.66,-,-,-,0.00,-2.04,-,-39.10%,-,-32.60%,2.70%
TCBS,,,,,,,,,,,
OXSQL,,,,,,,,,,,
INCY,3.09,42.73,13.19,2.85,0.01,1.45,-,7.60%,8.90%,-43.50%,0.40%
HUDAU,,,,,,,,,,,
VEON,2.24,7.15,-,-,0.00,2.63,-,-,-,-,39.60%
HEXO,0.17,-,-,-,0.75,-8.54,-,-97.90%,-182.10%,100.10%,3.03%
XP,2.87,14.45,10.19,1.05,2.30,1.25,-,20.80%,5.70%,-0.10%,19.35%
XT,-,-,-,-,-,-,0.69%,-,-,-,-
OTEX,2.72,37.21,8.87,2.27,2.20,1.11,2.34%,7.50%,6.00%,-22.80%,2.30%
VGIT,-,-,-,-,-,-,2.10%,-,-,-,-
OMQS,-,-,-,-,-,-1.92,-,-,-279.90%,-26.90%,0.70%
HALO,67.04,25.21,9.01,0.97,22.68,1.30,-,116.10%,13.00%,-32.50%,0.80%
EEMA,-,-,-,-,-,-,1.52%,-,-,-,-
FAT,-,-,-,-,-,-8.14,9.59%,78.60%,-6.60%,-34.40%,3.50%
FID,-,-,-,-,-,-,4.30%,-,-,-,-
NAII,0.51,12.83,-,-,0.22,0.60,-,4.10%,10.90%,-198.80%,2.50%
SAL,1.07,9.44,7.33,-,0.22,2.64,2.57%,11.80%,24.70%,-15.70%,8.22%
CELH,117.51,-,55.76,-,0.00,-2.28,-,-162.70%,-476.30%,412.70%,0.50%
ANGN,0.75,-,-,-,0.00,-0.97,-,-60.20%,-89.80%,68.30%,5.60%
SGIIU,,,,,,,,,,,
NFLX,8.02,46.25,27.58,2.13,0.66,8.50,-,20.40%,12.80%,-18.20%,1.34%
ORGS,1.16,-,-,-,0.71,-0.59,-,-51.40%,-19.40%,2.10%,11.98%
OXLCO,,,,,,,,,,,
VNOM,2.84,11.46,13.03,1.45,1.04,2.27,3.84%,-,56.30%,117.30%,0.20%
POCI,3.92,172.82,-,-,0.23,0.04,-,-1.30%,-6.70%,-247.30%,34.40%
VCLT,-,-,-,-,-,-,4.54%,-,-,-,-
RNLX,8.96,-,-,-,1.35,-1.14,-,-192.60%,-123.70%,34.20%,9.10%
EWTX,1.88,-,-,-,0.00,-1.33,-,-23.60%,-,-22.00%,9.60%
DIOD,2.62,12.83,13.31,0.86,0.08,7.15,-,22.50%,20.70%,-2.80%,0.50%
ACOR,0.19,-,-,-,2.23,-3.26,-,-69.70%,-14.90%,62.60%,0.10%
AMLX,4.54,-,8.28,-,0.00,-2.48,-,-57.80%,-59.30%,102.40%,23.46%
BLFY,0.61,414.35,-,-,0.02,0.02,-,0.20%,12.60%,-327.00%,1.50%
QDROU,,,,,,,,,,,
VSTM,6.50,-,-,-,1.24,-0.37,-,-147.20%,-101.00%,14.00%,1.10%
